t,frame,x,y,z,doppler,snr_db
1783974069.598,35,7.566,-0.954,0.381,0.0,15.8
1783974069.598,35,7.292,1.909,1.213,0.0,15.8
1783974069.598,35,7.627,1.456,-0.141,0.0,12.4
1783974069.7,36,7.562,-0.954,0.452,0.0,15.2
1783974069.7,36,7.398,1.67,-0.88,0.0,15.2
1783974069.7,36,7.711,-0.488,-1.135,0.0,12.0
1783974069.7,36,6.991,2.196,2.701,0.0,12.0
1783974069.801,37,7.521,-1.193,-0.553,0.0,13.0
1783974069.801,37,7.415,1.67,0.719,0.0,13.0
1783974069.801,37,7.562,-0.965,1.232,0.0,15.0
1783974069.902,38,7.532,-0.949,0.011,0.0,15.6
1783974069.902,38,6.459,1.661,3.627,0.0,15.6
1783974069.902,38,7.563,-0.724,1.385,0.0,14.9
1783974070.002,39,0.3,-0.515,-0.133,0.0,11.7
1783974070.002,39,0.67,-0.886,-0.228,0.0,12.0
1783974070.002,39,7.575,-0.954,0.035,0.0,15.9
1783974070.002,39,7.518,1.213,-1.524,0.0,13.8
1783974070.103,40,0.635,-0.886,-0.313,0.0,12.4
1783974070.103,40,7.579,-0.716,0.584,0.0,17.3
1783974070.103,40,7.436,1.456,-1.703,0.0,13.2
1783974070.205,41,0.302,-0.515,-0.127,0.0,12.1
1783974070.205,41,0.604,-0.886,-0.369,0.0,12.4
1783974070.205,41,0.928,0.603,0.25,0.0,12.4
1783974070.205,41,7.6,-0.716,0.135,0.0,17.0
1783974070.205,41,7.331,1.213,-2.257,0.0,12.7
1783974070.205,41,6.941,-1.456,3.164,0.0,12.7
1783974070.305,42,7.539,-1.193,-0.199,0.0,13.3
1783974070.305,42,6.651,1.432,3.466,0.0,13.3
1783974070.305,42,7.497,1.699,-1.102,0.0,13.6
1783974070.406,43,0.632,-0.886,-0.32,0.0,11.9
1783974070.406,43,7.306,1.699,-2.011,0.0,13.5
1783974070.406,43,6.88,-1.213,3.392,0.0,13.5
1783974070.456,44,0.692,-0.851,-0.289,0.0,11.3
1783974070.456,44,1.017,0.496,0.076,0.0,11.3
1783974070.456,44,7.003,2.331,1.084,0.0,11.6
1783974070.456,44,7.367,-1.166,0.147,0.0,11.6
1783974070.456,44,7.566,-0.954,-0.382,0.0,13.5
1783974070.456,44,7.189,1.67,1.956,0.0,13.5
1783974070.456,44,7.488,1.213,-1.664,0.0,13.8
1783974070.456,44,7.423,-0.971,2.065,0.0,13.8
1783974070.608,45,0.656,-0.886,-0.266,0.0,11.5
1783974070.608,45,7.564,-0.954,0.407,0.0,14.0
1783974070.608,45,7.302,1.67,-1.479,0.0,14.0
1783974070.608,45,7.461,1.941,0.935,0.0,13.4
1783974070.608,45,7.029,-0.485,-3.267,0.0,13.4
1783974070.709,46,0.299,-0.515,-0.134,0.0,12.1
1783974070.709,46,7.548,-0.954,0.638,0.0,16.4
1783974070.759,47,0.718,-0.851,-0.216,0.0,11.8
1783974070.759,47,7.531,-0.949,0.138,0.0,15.3
1783974070.861,48,7.239,1.909,1.5,0.0,11.5
1783974070.861,48,6.983,2.67,2.103,0.0,12.2
1783974071.012,49,7.594,-0.716,-0.339,0.0,12.4
1783974071.012,49,7.125,1.909,1.969,0.0,12.4
1783974071.062,50,7.524,-1.193,0.503,0.0,14.0
1783974071.062,50,6.572,1.67,-3.508,0.0,14.0
1783974071.062,50,7.788,-0.488,0.301,0.0,11.4
1783974071.264,52,0.912,0.409,-0.438,0.0,11.8
1783974071.264,52,7.295,2.196,1.716,0.0,15.0
1783974071.264,52,7.403,-0.732,-2.376,0.0,15.0
1783974071.365,53,7.526,-0.954,0.86,0.0,17.2
1783974071.365,53,6.97,1.67,-2.632,0.0,17.2
1783974071.365,53,6.44,2.67,3.422,0.0,12.3
1783974071.365,53,7.184,0.243,-2.938,0.0,12.3
1783974071.466,54,7.192,1.909,1.711,0.0,14.6
1783974071.466,54,7.545,-0.954,-0.675,0.0,14.6
1783974071.466,54,7.517,1.941,0.175,0.0,14.3
1783974071.466,54,8.422,0.793,0.292,0.0,11.4
1783974071.466,54,7.874,-2.38,-1.993,0.0,11.4
1783974071.568,55,0.732,-0.851,-0.166,0.0,11.6
1783974071.568,55,1.029,0.461,0.124,0.0,11.6
1783974071.568,55,7.529,-0.949,0.193,0.0,15.0
1783974071.568,55,7.647,-0.483,-0.962,0.0,14.2
1783974071.568,55,6.929,2.172,2.628,0.0,14.2
1783974071.568,55,8.447,0.529,0.102,0.0,11.8
1783974071.568,55,7.729,-2.645,-2.216,0.0,11.8
1783974071.67,56,7.279,-0.704,1.684,0.0,12.3
1783974071.67,56,7.209,1.876,-0.909,0.0,12.3
1783974071.67,56,7.574,-0.954,-0.129,0.0,16.2
1783974071.67,56,6.556,1.67,3.538,0.0,16.2
1783974071.67,56,7.557,1.952,-0.264,0.0,11.2
1783974071.77,57,0.643,-0.886,-0.297,0.0,11.8
1783974071.77,57,0.96,0.603,0.042,0.0,11.8
1783974071.77,57,7.557,-0.954,-0.521,0.0,15.7
1783974071.77,57,7.372,1.67,1.076,0.0,15.7
1783974071.77,57,7.314,-0.976,2.558,0.0,12.8
1783974071.77,57,7.583,1.708,-0.755,0.0,12.8
1783974071.871,58,0.643,-0.886,-0.296,0.0,11.3
1783974071.871,58,1.033,0.461,-0.08,0.0,11.3
1783974071.871,58,7.365,-0.933,0.74,0.0,13.8
1783974071.871,58,7.541,-1.193,0.068,0.0,13.8
1783974071.871,58,7.412,1.67,-0.751,0.0,13.8
1783974071.972,59,7.575,-0.954,-0.062,0.0,15.2
1783974071.972,59,7.404,1.67,0.826,0.0,15.2
1783974071.972,59,7.651,-0.732,1.381,0.0,12.2
1783974072.073,60,7.531,-0.949,-0.132,0.0,15.1
1783974072.073,60,7.02,1.898,2.179,0.0,15.1
1783974072.073,60,7.575,1.699,-0.191,0.0,13.1
1783974072.173,61,7.571,-0.954,0.244,0.0,15.1
1783974072.275,62,0.665,-0.886,-0.243,0.0,12.0
1783974072.275,62,1.03,0.461,0.12,0.0,12.0
1783974072.275,62,7.558,-0.712,0.074,0.0,16.1
1783974072.275,62,7.568,1.699,0.379,0.0,13.1
