track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
40,,static,metal,7.76,9.2,14.2,0.04,0.05,0.12,2.4,48.6,48.7,0.5,0.0,0.0,0.0,0.0,0.7,0.18,0.58,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,,unknown,metal,7.57,-14.0,7.3,0.45,0.17,1.42,4.0,51.2,52.6,1.1,0.0,0.0,0.0,0.0,4.41,2.58,1.79,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,,static,metal,7.61,-15.9,18.3,0.29,0.14,0.89,2.4,51.4,53.5,1.5,0.0,0.0,0.0,0.0,1.52,0.27,0.86,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,,unknown,metal,7.67,-11.8,-3.4,0.24,0.87,1.37,6.8,50.3,52.0,1.4,0.0,0.0,0.0,0.0,5.3,2.58,8.82,121.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,,static,metal,7.76,-14.4,-28.1,0.38,0.49,0.46,2.0,51.3,51.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,,unknown,metal,7.53,-16.4,4.3,0.23,0.45,1.1,3.5,48.3,51.2,2.0,0.0,0.0,0.0,0.0,5.95,2.73,1.46,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,,static,fabric,0.61,59.7,-11.7,0.01,0.03,0.1,4.2,4.6,4.9,0.1,0.0,0.0,0.0,0.0,0.06,0.02,0.72,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,,static,metal,7.71,-12.8,-4.1,0.28,0.44,1.23,3.5,50.3,52.2,1.6,0.0,0.0,0.0,0.0,1.83,0.4,2.72,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,,static,metal,7.5,6.6,-4.3,0.2,0.42,1.6,5.9,50.3,52.3,2.0,0.0,0.0,0.0,0.0,3.86,0.98,5.37,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,,unknown,metal,7.51,6.2,2.3,0.23,0.41,2.5,6.2,48.6,51.8,2.0,0.0,0.0,0.0,0.0,3.36,1.11,0.73,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
