t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1783974070.456,static,metal,50.8,7.62,0.0,1.71,6,7.57,-0.88,0.24
1783974070.456,static,metal,49.2,7.74,0.0,1.19,4,7.44,1.43,-1.6
1783974070.456,static,fabric,14.2,0.94,0.0,0.57,5,0.52,-0.75,-0.23
1783974070.517,static,metal,50.8,7.61,0.0,1.58,6,7.56,-0.9,0.18
1783974070.517,static,metal,49.1,7.75,0.0,1.2,4,7.43,1.44,-1.65
1783974070.517,static,fabric,14.2,0.97,0.0,0.57,5,0.53,-0.77,-0.25
1783974070.584,static,metal,50.8,7.6,0.0,1.5,6,7.55,-0.92,0.14
1783974070.584,static,metal,49.1,7.75,0.0,1.21,4,7.42,1.45,-1.69
1783974070.584,static,fabric,14.2,0.99,0.0,0.58,5,0.55,-0.78,-0.26
1783974070.646,static,metal,50.5,7.6,0.0,1.42,6,7.54,-0.95,0.1
1783974070.646,static,metal,49.1,7.74,0.0,1.22,4,7.41,1.47,-1.69
1783974070.646,static,fabric,14.1,1.0,0.0,0.58,5,0.56,-0.79,-0.26
1783974070.646,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974070.708,static,metal,50.4,7.6,0.0,1.34,5,7.53,-0.99,0.06
1783974070.708,static,metal,49.2,7.73,0.0,1.2,4,7.4,1.5,-1.64
1783974070.708,static,fabric,14.1,1.05,0.0,0.52,5,0.59,-0.82,-0.27
1783974070.708,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974070.708,static,metal,48.8,7.57,0.0,1.2,2,7.17,1.99,1.41
1783974070.769,static,metal,50.4,7.59,0.0,1.31,5,7.53,-1.0,0.08
1783974070.769,static,metal,49.2,7.73,0.0,1.18,4,7.4,1.53,-1.62
1783974070.769,static,fabric,14.1,1.04,0.0,0.53,5,0.6,-0.81,-0.26
1783974070.769,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974070.769,static,metal,48.8,7.58,0.0,1.22,3,7.19,1.99,1.38
1783974070.831,static,metal,50.4,7.59,0.0,1.29,5,7.52,-1.0,0.12
1783974070.831,static,metal,49.2,7.73,0.0,1.13,4,7.39,1.53,-1.65
1783974070.831,static,fabric,14.0,1.04,0.0,0.53,5,0.6,-0.81,-0.26
1783974070.831,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974070.831,static,metal,48.8,7.59,0.0,1.23,3,7.2,1.98,1.36
1783974070.886,static,metal,50.4,7.59,0.0,1.27,5,7.52,-1.0,0.14
1783974070.886,static,metal,49.2,7.72,0.0,1.1,4,7.38,1.53,-1.68
1783974070.886,static,fabric,14.0,1.03,0.0,0.54,5,0.6,-0.8,-0.26
1783974070.886,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974070.886,static,metal,48.8,7.6,0.0,1.28,3,7.19,2.02,1.42
1783974070.953,static,metal,50.4,7.59,0.0,1.25,5,7.52,-1.0,0.16
1783974070.953,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974070.953,static,fabric,14.0,1.02,0.0,0.54,5,0.6,-0.8,-0.25
1783974070.953,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974070.953,static,metal,48.8,7.61,0.0,1.32,3,7.18,2.05,1.45
1783974071.018,static,metal,50.4,7.6,0.0,1.23,5,7.54,-0.96,0.18
1783974071.018,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.018,static,fabric,13.7,1.0,0.0,0.54,5,0.58,-0.78,-0.23
1783974071.018,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.018,static,metal,48.8,7.63,0.0,1.34,3,7.19,2.07,1.52
1783974071.094,static,metal,49.3,7.61,0.0,1.22,5,7.55,-0.93,0.21
1783974071.094,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.094,static,fabric,13.7,0.99,0.0,0.54,4,0.57,-0.77,-0.23
1783974071.094,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.094,static,metal,47.8,7.65,0.0,1.35,3,7.19,2.08,1.56
1783974071.156,static,metal,49.3,7.63,0.0,1.22,5,7.57,-0.91,0.22
1783974071.156,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.156,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.156,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.156,static,metal,47.8,7.65,0.0,1.32,3,7.17,2.11,1.66
1783974071.217,static,metal,49.3,7.64,0.0,1.21,5,7.58,-0.88,0.2
1783974071.217,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.217,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.217,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.217,static,metal,47.8,7.66,0.0,1.29,3,7.15,2.13,1.73
1783974071.28,static,metal,49.3,7.65,0.0,1.2,5,7.6,-0.85,0.18
1783974071.28,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.28,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.28,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.28,static,metal,47.8,7.67,0.0,1.27,3,7.15,2.14,1.76
1783974071.345,static,metal,49.3,7.66,0.0,1.2,5,7.62,-0.84,0.17
1783974071.345,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.345,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.345,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.345,static,metal,47.8,7.68,0.0,1.25,3,7.16,2.15,1.78
1783974071.408,static,metal,49.3,7.66,0.0,1.21,5,7.61,-0.84,0.23
1783974071.408,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.408,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.408,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.408,static,metal,47.8,7.69,0.0,1.19,3,7.17,2.12,1.8
1783974071.477,static,metal,49.3,7.66,0.0,1.23,5,7.61,-0.85,0.19
1783974071.477,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.477,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.477,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.477,static,metal,47.8,7.69,0.0,1.14,3,7.18,2.08,1.8
1783974071.554,static,metal,49.3,7.66,0.0,1.26,5,7.61,-0.86,0.21
1783974071.554,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.554,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.554,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.554,static,metal,47.8,7.7,0.0,1.09,3,7.2,2.07,1.77
1783974071.619,static,metal,49.3,7.64,0.0,1.28,5,7.59,-0.86,0.09
1783974071.619,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.619,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.619,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.619,static,fabric,13.8,1.1,0.0,0.3,2,0.97,0.51,0.05
1783974071.619,static,metal,47.8,7.69,0.0,1.14,3,7.12,2.13,1.98
1783974071.619,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974071.683,static,metal,49.3,7.61,0.0,1.34,5,7.57,-0.85,0.11
1783974071.683,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.683,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.683,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.683,static,fabric,13.8,1.08,0.0,0.35,2,0.97,0.48,-0.02
1783974071.683,static,metal,47.9,7.67,0.0,1.2,3,7.03,2.12,2.2
1783974071.683,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974071.746,static,metal,49.3,7.6,0.0,1.4,5,7.55,-0.84,0.13
1783974071.746,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.746,static,fabric,13.7,0.95,0.0,0.54,4,0.55,-0.74,-0.21
1783974071.746,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.746,static,fabric,13.8,1.08,0.0,0.39,2,0.97,0.46,-0.07
1783974071.746,static,metal,47.9,7.66,0.0,1.25,3,6.98,2.12,2.34
1783974071.746,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974071.808,static,metal,49.7,7.58,0.0,1.48,5,7.53,-0.85,0.22
1783974071.808,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.808,static,fabric,13.8,1.01,0.0,0.52,4,0.6,-0.78,-0.22
1783974071.808,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.808,static,fabric,13.8,1.09,0.0,0.35,2,0.98,0.49,-0.02
1783974071.808,static,metal,48.8,7.59,0.0,1.4,4,7.04,2.06,1.93
1783974071.808,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974071.808,static,metal,48.9,8.46,0.0,0.33,2,8.43,0.66,0.2
1783974071.808,static,metal,48.9,8.46,0.0,0.38,2,7.8,-2.51,-2.1
1783974071.874,static,metal,49.7,7.57,0.0,1.56,5,7.51,-0.87,0.26
1783974071.874,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.874,static,fabric,13.8,1.05,0.0,0.49,4,0.62,-0.81,-0.23
1783974071.874,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.874,static,fabric,13.8,1.11,0.0,0.34,2,0.99,0.49,-0.0
1783974071.874,static,metal,48.8,7.59,0.0,1.4,4,7.04,2.06,1.93
1783974071.874,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974071.874,static,metal,48.9,8.46,0.0,0.33,2,8.43,0.66,0.2
1783974071.874,static,metal,48.9,8.46,0.0,0.38,2,7.8,-2.51,-2.1
1783974071.939,static,metal,49.7,7.56,0.0,1.64,5,7.5,-0.88,0.28
1783974071.939,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974071.939,static,fabric,13.8,1.08,0.0,0.47,4,0.64,-0.83,-0.24
1783974071.939,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974071.939,static,fabric,13.8,1.11,0.0,0.33,2,1.0,0.5,0.01
1783974071.939,static,metal,48.8,7.59,0.0,1.4,4,7.04,2.06,1.93
1783974071.939,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974071.939,static,metal,48.9,8.46,0.0,0.33,2,8.43,0.66,0.2
1783974071.939,static,metal,48.9,8.46,0.0,0.38,2,7.8,-2.51,-2.1
1783974071.939,static,metal,49.7,7.57,0.0,2.86,6,7.33,1.87,0.28
1783974072.019,static,metal,49.7,7.56,0.0,1.71,6,7.5,-0.88,0.36
1783974072.019,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974072.019,static,fabric,13.8,1.09,0.0,0.46,4,0.65,-0.85,-0.24
1783974072.019,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974072.019,static,fabric,13.8,1.12,0.0,0.32,2,1.0,0.5,0.02
1783974072.019,static,metal,48.8,7.59,0.0,1.38,4,6.93,2.01,2.33
1783974072.019,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974072.019,static,metal,48.9,8.46,0.0,0.33,2,8.43,0.66,0.2
1783974072.019,static,metal,48.9,8.46,0.0,0.38,2,7.8,-2.51,-2.1
1783974072.019,static,metal,49.1,7.59,0.0,2.7,6,7.36,1.83,0.13
1783974072.082,static,metal,49.7,7.56,0.0,1.75,6,7.5,-0.9,0.45
1783974072.082,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974072.082,static,fabric,13.8,1.11,0.0,0.43,4,0.65,-0.86,-0.26
1783974072.082,static,metal,49.1,7.76,0.0,0.34,2,6.91,-1.33,3.28
1783974072.082,static,fabric,13.8,1.12,0.0,0.31,2,1.0,0.51,0.0
1783974072.082,static,metal,48.8,7.59,0.0,1.38,4,6.93,2.01,2.33
1783974072.082,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974072.082,static,metal,48.9,8.46,0.0,0.33,2,8.43,0.66,0.2
1783974072.082,static,metal,48.9,8.46,0.0,0.38,2,7.8,-2.51,-2.1
1783974072.082,static,metal,49.1,7.59,0.0,2.77,6,7.37,1.81,0.14
1783974072.147,static,metal,49.7,7.57,0.0,1.8,6,7.49,-0.91,0.51
1783974072.147,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974072.147,static,fabric,13.8,1.12,0.0,0.41,4,0.64,-0.87,-0.28
1783974072.147,static,fabric,13.8,1.13,0.0,0.3,2,1.0,0.52,-0.0
1783974072.147,static,metal,48.8,7.59,0.0,1.38,4,6.93,2.01,2.33
1783974072.147,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974072.147,static,metal,48.9,8.46,0.0,0.33,2,8.43,0.66,0.2
1783974072.147,static,metal,48.9,8.46,0.0,0.38,2,7.8,-2.51,-2.1
1783974072.147,static,metal,49.1,7.6,0.0,2.83,7,7.38,1.8,0.14
1783974072.207,static,metal,49.7,7.58,0.0,1.8,6,7.51,-0.92,0.42
1783974072.207,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974072.207,static,fabric,13.8,1.12,0.0,0.39,4,0.64,-0.88,-0.28
1783974072.207,static,fabric,13.8,1.13,0.0,0.29,2,1.0,0.52,-0.01
1783974072.207,static,metal,48.8,7.59,0.0,1.38,4,6.93,2.01,2.33
1783974072.207,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974072.207,static,metal,48.9,8.46,0.0,0.33,2,8.43,0.66,0.2
1783974072.207,static,metal,48.9,8.46,0.0,0.38,2,7.8,-2.51,-2.1
1783974072.207,static,metal,49.1,7.6,0.0,2.85,6,7.38,1.77,0.23
1783974072.272,static,metal,49.7,7.59,0.0,1.8,6,7.52,-0.93,0.4
1783974072.272,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974072.272,static,fabric,13.8,1.12,0.0,0.39,4,0.64,-0.88,-0.28
1783974072.272,static,fabric,13.8,1.13,0.0,0.29,2,1.0,0.52,-0.01
1783974072.272,static,metal,48.8,7.59,0.0,1.38,4,6.93,2.01,2.33
1783974072.272,static,metal,50.7,7.76,0.0,1.15,2,7.29,-0.24,-2.66
1783974072.272,static,metal,48.9,8.46,0.0,0.33,2,8.43,0.66,0.2
1783974072.272,static,metal,48.9,8.46,0.0,0.38,2,7.8,-2.51,-2.1
1783974072.272,static,metal,49.1,7.61,0.0,2.71,6,7.41,1.74,0.14
1783974072.338,static,metal,49.7,7.59,0.0,1.79,6,7.53,-0.93,0.38
1783974072.338,static,metal,49.2,7.71,0.0,1.04,4,7.39,1.5,-1.64
1783974072.338,static,fabric,13.8,1.13,0.0,0.38,4,0.65,-0.88,-0.28
1783974072.338,static,fabric,13.8,1.13,0.0,0.28,2,1.01,0.5,0.0
1783974072.338,static,metal,48.8,7.59,0.0,1.38,4,6.93,2.01,2.33
