track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
3,,unknown,metal,8.47,16.2,-2.5,0.37,0.45,1.24,3.7,47.1,48.7,0.8,0.0,0.0,0.0,0.0,5.82,2.27,1.12,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,,static,metal,7.48,5.0,-8.9,0.3,0.1,0.92,2.8,45.0,46.0,0.7,0.0,0.0,0.0,0.0,1.96,0.49,0.93,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,,static,metal,8.45,18.2,-9.5,0.14,0.3,0.47,2.6,47.4,49.2,0.8,0.0,0.0,0.0,0.0,2.37,0.9,1.12,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,,unknown,metal,7.94,-2.5,-7.6,0.04,0.42,0.45,2.7,47.0,49.2,1.1,0.0,0.0,0.0,0.0,4.77,1.68,2.51,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,,static,metal,8.45,19.5,-17.2,0.22,0.29,0.8,2.8,46.7,46.8,0.3,0.0,0.0,0.0,0.0,4.6,1.08,0.66,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,,static,metal,8.5,16.3,-0.8,0.0,0.0,0.1,2.0,47.0,47.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.34,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,,unknown,metal,7.63,7.1,11.6,0.51,0.8,2.18,8.9,48.2,51.4,2.4,0.0,0.0,0.0,0.0,1.96,1.3,5.32,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,,unknown,metal,7.67,-13.8,-12.4,0.65,0.93,2.5,10.0,47.4,49.6,1.7,0.0,0.0,0.0,0.0,2.38,1.56,5.32,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,,static,metal,7.88,-10.1,4.8,0.25,0.45,0.38,2.8,46.8,49.6,1.3,0.0,0.0,0.0,0.0,3.18,1.13,2.93,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,,static,fabric,0.94,53.0,-10.7,0.28,0.27,0.14,5.2,12.9,13.4,3.4,0.0,0.0,0.0,0.0,1.02,0.06,7.83,118.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,,static,metal,7.89,-12.4,20.5,0.44,0.32,0.99,3.3,51.0,52.3,1.7,0.0,0.0,0.0,0.0,2.65,0.54,3.65,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,,unknown,metal,7.63,6.9,8.1,0.45,0.7,2.4,8.9,48.9,52.5,2.3,0.0,0.0,0.0,0.0,0.52,1.17,2.65,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,,static,metal,7.72,-13.4,-5.3,0.84,0.55,2.64,6.1,47.8,50.2,1.8,0.0,0.0,0.0,0.0,1.24,0.26,0.4,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,,unknown,metal,7.68,-13.1,-3.0,0.4,0.78,0.91,5.2,48.5,51.6,1.7,0.0,0.0,0.0,0.0,6.33,1.68,1.26,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,,static,metal,8.45,-3.6,0.3,0.0,0.0,0.91,2.0,48.4,48.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.34,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,,static,metal,8.46,18.0,-16.6,0.2,0.26,0.38,2.0,48.4,48.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
