t,frame,x,y,z,doppler,snr_db
1783973637.61,1,0.668,-0.886,-0.235,0.0,11.2
1783973637.61,1,7.575,-0.954,0.034,0.0,18.9
1783973637.61,1,6.806,1.909,2.887,0.0,18.9
1783973637.725,2,0.726,-0.851,-0.19,0.0,11.3
1783973637.725,2,7.601,-0.716,-0.082,0.0,15.7
1783973637.725,2,6.686,1.909,3.153,0.0,15.7
1783973637.725,2,7.667,-0.971,0.765,0.0,11.8
1783973637.725,2,7.172,1.456,-2.599,0.0,11.8
1783973637.725,2,8.223,-2.127,-0.481,0.0,10.0
1783973637.782,3,0.67,-0.886,-0.23,0.0,11.6
1783973637.782,3,7.091,1.865,1.377,0.0,11.0
1783973637.782,3,7.284,-0.466,-1.544,0.0,11.0
1783973637.782,3,7.583,-0.716,0.525,0.0,18.6
1783973637.782,3,7.76,-0.0,-0.299,0.0,12.0
1783973637.782,3,7.719,0.485,-0.695,0.0,12.0
1783973637.782,3,8.388,0.529,-0.998,0.0,9.1
1783973637.782,3,7.971,-2.38,-1.562,0.0,9.1
1783973637.896,4,0.672,-0.886,-0.224,0.0,10.7
1783973637.896,4,7.456,-0.704,-0.469,0.0,10.7
1783973637.896,4,6.981,2.111,1.767,0.0,10.7
1783973637.896,4,7.48,-0.954,1.198,0.0,16.9
1783973637.896,4,7.235,1.909,-1.519,0.0,16.9
1783973637.896,4,7.603,1.708,-0.515,0.0,11.3
1783973637.896,4,7.704,-1.22,-0.395,0.0,11.3
1783973637.896,4,8.237,-2.127,0.093,0.0,9.5
1783973638.004,5,0.723,-0.851,-0.2,0.0,11.6
1783973638.004,5,7.263,1.876,-0.212,0.0,10.2
1783973638.004,5,7.46,-0.954,1.317,0.0,14.8
1783973638.004,5,7.375,1.909,-0.51,0.0,14.8
1783973638.004,5,7.485,1.213,-1.678,0.0,13.0
1783973638.004,5,8.414,0.264,0.878,0.0,11.4
1783973638.004,5,7.732,-2.909,-1.841,0.0,11.4
1783973638.114,6,0.667,-0.886,-0.237,0.0,10.9
1783973638.114,6,7.159,2.098,0.002,0.0,11.2
1783973638.114,6,7.426,-0.699,0.166,0.0,11.2
1783973638.114,6,7.668,1.213,-0.18,0.0,12.4
1783973638.114,6,8.45,0.264,0.414,0.0,9.5
1783973638.114,6,7.782,-2.645,-2.021,0.0,9.5
1783973638.225,7,0.667,-0.886,-0.237,0.0,10.2
1783973638.225,7,7.572,-0.954,0.231,0.0,15.0
1783973638.225,7,7.411,1.67,-0.761,0.0,15.0
1783973638.225,7,7.691,-0.483,0.495,0.0,14.2
1783973638.225,7,7.537,1.952,-0.609,0.0,11.0
1783973638.225,7,8.459,0.264,0.107,0.0,9.2
1783973638.225,7,8.0,-2.645,-0.805,0.0,9.2
1783973638.288,8,0.708,-0.851,-0.248,0.0,10.8
1783973638.288,8,7.575,-0.954,-0.042,0.0,15.1
1783973638.288,8,7.241,1.909,1.491,0.0,15.1
1783973638.288,8,7.241,1.456,-2.399,0.0,12.1
1783973638.288,8,7.499,-0.971,1.768,0.0,12.1
1783973638.389,9,0.665,-0.886,-0.244,0.0,10.8
1783973638.389,9,7.57,-0.954,0.288,0.0,16.4
1783973638.389,9,6.588,1.909,3.354,0.0,16.4
1783973638.389,9,7.669,-0.724,0.547,0.0,14.6
1783973638.49,10,7.566,-0.954,0.366,0.0,17.3
1783973638.49,10,6.757,1.909,-2.999,0.0,17.3
1783973638.49,10,7.692,0.971,-0.45,0.0,11.5
1783973638.59,11,0.672,-0.886,-0.224,0.0,10.7
1783973638.59,11,7.477,-0.235,0.588,0.0,10.7
1783973638.59,11,7.191,2.111,-0.385,0.0,10.7
1783973638.59,11,7.427,-1.193,1.309,0.0,15.0
1783973638.59,11,7.68,0.971,-0.614,0.0,12.3
1783973638.59,11,8.444,0.529,0.242,0.0,9.2
1783973638.59,11,7.945,-2.909,-0.22,0.0,9.2
1783973638.691,12,0.66,-0.886,-0.257,0.0,11.3
1783973638.691,12,7.408,-0.954,1.581,0.0,14.1
1783973638.691,12,7.321,2.147,-0.294,0.0,14.1
1783973638.691,12,7.542,1.708,-1.09,0.0,11.7
1783973638.691,12,7.629,-1.22,1.142,0.0,11.7
1783973638.691,12,8.431,0.264,0.695,0.0,11.4
1783973638.691,12,8.032,-2.645,-0.359,0.0,11.4
1783973638.893,14,0.654,-0.886,-0.272,0.0,11.8
1783973638.893,14,7.373,1.909,-0.531,0.0,16.4
1783973638.893,14,7.392,-0.954,1.656,0.0,16.4
1783973638.893,14,7.616,1.708,-0.265,0.0,11.8
1783973638.995,15,0.32,-0.515,-0.072,0.0,14.0
1783973638.995,15,0.663,-0.886,-0.25,0.0,10.2
1783973638.995,15,7.188,2.111,0.431,0.0,9.5
1783973638.995,15,7.334,1.407,0.735,0.0,9.5
1783973638.995,15,7.56,-0.954,0.475,0.0,15.8
1783973638.995,15,7.389,1.909,0.245,0.0,15.8
1783973638.995,15,7.691,-0.483,0.504,0.0,13.3
1783973639.096,16,0.666,-0.886,-0.241,0.0,10.9
1783973639.096,16,7.266,1.876,0.039,0.0,10.3
1783973639.096,16,7.574,-0.954,-0.14,0.0,16.3
1783973639.096,16,7.312,1.67,1.43,0.0,16.3
1783973639.096,16,7.375,1.213,-2.108,0.0,12.6
1783973639.096,16,7.558,-1.213,1.309,0.0,12.6
1783973639.096,16,8.237,-2.127,-0.029,0.0,9.7
1783973639.197,17,0.66,-0.886,-0.256,0.0,10.4
1783973639.197,17,7.558,-0.954,-0.502,0.0,13.6
1783973639.197,17,7.257,1.67,1.684,0.0,13.6
1783973639.197,17,7.631,-0.724,0.938,0.0,14.3
1783973639.197,17,8.237,-2.127,0.101,0.0,9.8
1783973639.298,18,7.168,2.111,0.688,0.0,10.8
1783973639.298,18,7.254,-1.407,1.307,0.0,10.8
1783973639.298,18,7.528,-1.193,0.446,0.0,14.2
1783973639.298,18,8.237,-2.127,-0.081,0.0,9.4
1783973639.4,19,0.716,-0.851,-0.226,0.0,11.5
1783973639.4,19,7.263,1.876,0.212,0.0,9.8
1783973639.4,19,4.761,4.69,3.413,0.0,9.8
1783973639.4,19,7.509,-1.193,0.7,0.0,13.8
1783973639.4,19,6.961,2.625,1.716,0.0,13.8
1783973639.4,19,8.427,0.793,0.011,0.0,9.8
1783973639.4,19,8.045,-2.116,-1.56,0.0,9.8
1783973639.502,20,0.67,-0.886,-0.228,0.0,10.0
1783973639.502,20,7.253,1.876,0.43,0.0,9.6
1783973639.502,20,7.569,-0.954,0.317,0.0,15.3
1783973639.502,20,7.413,-0.724,2.037,0.0,9.7
1783973639.502,20,7.713,-0.244,-1.2,0.0,9.9
1783973639.502,20,8.23,-2.127,-0.348,0.0,9.7
1783973639.609,21,0.664,-0.886,-0.246,0.0,11.8
1783973639.609,21,7.272,1.642,0.859,0.0,9.4
1783973639.609,21,7.574,-0.954,0.138,0.0,15.3
1783973639.609,21,7.727,-0.0,-0.772,0.0,11.9
1783973639.609,21,7.654,0.485,-1.218,0.0,11.9
1783973639.71,22,0.672,-0.886,-0.224,0.0,10.4
1783973639.71,22,7.217,1.876,0.843,0.0,9.2
1783973639.71,22,7.541,-1.193,0.025,0.0,16.6
1783973639.71,22,8.164,-2.393,-0.08,0.0,9.0
1783973639.811,23,0.318,-0.515,-0.081,0.0,13.3
1783973639.811,23,0.675,-0.886,-0.213,0.0,10.3
1783973639.811,23,7.573,-0.954,0.18,0.0,15.4
1783973639.811,23,7.669,-0.724,0.55,0.0,13.1
1783973639.811,23,7.56,1.952,-0.151,0.0,12.1
1783973639.811,23,8.162,-2.393,-0.18,0.0,9.0
