t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1783973641.825,static,fabric,5.3,0.83,0.0,0.63,6,0.49,-0.66,-0.15
1783973641.825,static,metal,49.1,7.86,0.0,2.68,12,7.84,-0.44,0.33
1783973641.825,static,metal,46.7,7.61,0.0,2.75,8,7.38,1.84,0.22
1783973641.882,static,fabric,5.3,0.85,0.0,0.62,6,0.49,-0.67,-0.16
1783973641.882,static,metal,49.1,7.84,0.0,2.72,12,7.82,-0.44,0.27
1783973641.882,static,metal,46.7,7.61,0.0,2.63,8,7.38,1.84,0.36
1783973641.968,static,fabric,5.3,0.86,0.0,0.62,6,0.5,-0.68,-0.17
1783973641.968,static,metal,49.0,7.84,0.0,2.77,12,7.82,-0.43,0.3
1783973641.968,static,metal,47.1,8.44,0.0,1.02,3,7.68,-2.76,-2.13
1783973641.968,static,metal,46.7,7.62,0.0,2.65,8,7.39,1.83,0.39
1783973642.027,static,fabric,5.3,0.85,0.0,0.62,6,0.49,-0.68,-0.16
1783973642.027,static,metal,49.0,7.82,0.0,2.86,12,7.8,-0.44,0.33
1783973642.027,static,metal,47.1,8.43,0.0,1.23,3,7.74,-2.72,-1.94
1783973642.027,static,metal,46.7,7.62,0.0,2.66,8,7.38,1.82,0.41
1783973642.093,static,fabric,5.3,0.89,0.0,0.61,5,0.51,-0.71,-0.17
1783973642.093,static,metal,49.0,7.71,0.0,2.87,12,7.68,-0.54,0.45
1783973642.093,static,metal,47.1,8.42,0.0,1.59,4,7.77,-2.65,-1.87
1783973642.093,static,metal,47.2,7.66,0.0,2.46,8,7.45,1.81,0.1
1783973642.157,static,fabric,5.3,0.91,0.0,0.6,5,0.52,-0.72,-0.18
1783973642.157,static,metal,49.0,7.64,0.0,2.89,11,7.6,-0.61,0.53
1783973642.157,static,metal,47.1,8.41,0.0,1.85,4,7.79,-2.6,-1.82
1783973642.157,static,metal,47.2,7.7,0.0,2.31,8,7.49,1.8,-0.11
1783973642.219,static,fabric,5.4,0.94,0.0,0.59,5,0.54,-0.75,-0.19
1783973642.219,static,metal,49.0,7.63,0.0,2.72,11,7.55,-0.7,0.89
1783973642.219,static,metal,47.1,8.41,0.0,1.88,4,7.88,-2.53,-1.51
1783973642.219,static,metal,47.2,7.66,0.0,2.38,8,7.44,1.82,0.03
1783973642.282,static,fabric,12.8,0.96,0.0,0.59,5,0.56,-0.76,-0.19
1783973642.282,static,metal,49.1,7.63,0.0,2.58,10,7.51,-0.76,1.13
