t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1783971074.632,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.632,static,mid,32.3,2.62,0.0,0.01,5,1.72,-1.96,0.2
1783971074.695,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.695,static,mid,32.2,2.62,0.0,0.01,5,1.72,-1.96,0.2
1783971074.7,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.7,static,mid,32.2,2.62,0.0,0.01,5,1.72,-1.96,0.2
1783971074.748,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.748,static,mid,32.2,2.62,0.0,0.01,5,1.72,-1.96,0.2
1783971074.754,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.754,static,mid,32.2,2.62,0.0,0.01,5,1.72,-1.96,0.2
1783971074.814,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.814,static,mid,32.2,2.62,0.0,0.01,5,1.72,-1.96,0.2
1783971074.865,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.865,static,mid,32.2,2.62,0.0,0.01,5,1.72,-1.96,0.2
1783971074.915,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.915,static,mid,32.2,2.62,0.0,0.01,5,1.72,-1.96,0.2
1783971074.919,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.919,static,mid,32.2,2.62,0.0,0.02,5,1.72,-1.96,0.21
1783971074.994,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971074.994,static,mid,32.2,2.62,0.0,0.02,5,1.72,-1.96,0.21
1783971075.045,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971075.045,static,mid,32.2,2.62,0.0,0.02,5,1.72,-1.96,0.21
1783971075.092,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971075.092,static,mid,32.1,2.62,0.0,0.02,5,1.72,-1.96,0.22
1783971075.138,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
1783971075.138,static,mid,32.1,2.62,0.0,0.02,5,1.72,-1.96,0.22
1783971075.185,static,fabric,24.5,1.79,0.0,0.0,5,1.29,1.23,0.12
