t,frame,x,y,z,doppler,snr_db
1783971072.418,1,1.238,1.286,0.122,0.0,14.2
1783971072.418,1,1.714,-1.963,0.245,0.0,15.4
1783971072.526,2,1.294,1.23,0.119,0.0,14.4
1783971072.526,2,1.716,-1.963,0.234,0.0,15.5
1783971072.634,3,1.294,1.23,0.119,0.0,14.3
1783971072.634,3,1.717,-1.963,0.225,0.0,15.5
1783971072.735,4,1.238,1.286,0.118,0.0,14.4
1783971072.735,4,1.718,-1.963,0.214,0.0,15.6
1783971072.793,5,1.293,1.23,0.121,0.0,14.3
1783971072.793,5,1.719,-1.963,0.207,0.0,15.6
1783971072.901,6,1.294,1.23,0.114,0.0,14.5
1783971072.901,6,1.719,-1.963,0.208,0.0,15.7
1783971073.008,7,1.294,1.23,0.117,0.0,14.3
1783971073.008,7,1.719,-1.963,0.207,0.0,15.5
1783971073.108,8,1.294,1.23,0.118,0.0,14.5
1783971073.108,8,1.718,-1.963,0.212,0.0,15.3
1783971073.21,9,1.294,1.23,0.115,0.0,14.4
1783971073.21,9,1.719,-1.963,0.203,0.0,15.4
1783971073.311,10,1.294,1.23,0.117,0.0,14.3
1783971073.311,10,1.719,-1.963,0.205,0.0,15.5
1783971073.411,11,1.294,1.23,0.116,0.0,14.5
1783971073.411,11,1.719,-1.963,0.207,0.0,15.5
1783971073.511,12,1.294,1.23,0.118,0.0,14.5
1783971073.511,12,1.72,-1.963,0.198,0.0,15.6
1783971073.612,13,1.294,1.23,0.117,0.0,14.4
1783971073.612,13,1.72,-1.963,0.199,0.0,15.5
1783971073.713,14,1.294,1.23,0.115,0.0,14.4
1783971073.713,14,1.72,-1.963,0.201,0.0,15.6
1783971073.814,15,1.294,1.23,0.117,0.0,14.4
1783971073.814,15,1.72,-1.963,0.199,0.0,15.5
1783971073.915,16,1.294,1.23,0.118,0.0,14.5
1783971073.915,16,1.72,-1.963,0.197,0.0,15.6
1783971074.015,17,1.294,1.23,0.117,0.0,14.4
1783971074.015,17,1.72,-1.963,0.195,0.0,15.6
1783971074.117,18,1.294,1.23,0.116,0.0,14.5
1783971074.117,18,1.72,-1.963,0.196,0.0,15.7
1783971074.218,19,1.294,1.23,0.116,0.0,14.4
1783971074.218,19,1.72,-1.963,0.197,0.0,15.4
1783971074.319,20,1.294,1.23,0.116,0.0,14.4
1783971074.319,20,1.72,-1.963,0.2,0.0,15.6
1783971074.42,21,1.294,1.23,0.118,0.0,14.5
1783971074.42,21,1.721,-1.963,0.194,0.0,15.4
1783971074.536,22,1.294,1.23,0.117,0.0,14.5
1783971074.536,22,1.72,-1.963,0.198,0.0,15.5
1783971074.587,23,1.294,1.23,0.116,0.0,14.4
1783971074.587,23,1.72,-1.963,0.2,0.0,15.5
1783971074.695,24,1.294,1.23,0.118,0.0,14.4
1783971074.695,24,1.719,-1.963,0.206,0.0,15.4
1783971074.796,25,1.294,1.23,0.119,0.0,14.6
1783971074.796,25,1.718,-1.963,0.217,0.0,15.2
1783971074.897,26,1.293,1.23,0.12,0.0,14.4
1783971074.897,26,1.716,-1.963,0.23,0.0,15.1
1783971075.0,27,1.294,1.23,0.119,0.0,14.4
1783971075.0,27,1.713,-1.963,0.251,0.0,15.2
1783971075.1,28,1.293,1.23,0.12,0.0,14.3
1783971075.1,28,1.711,-1.963,0.262,0.0,15.1
1783971075.201,29,1.293,1.23,0.119,0.0,14.3
1783971075.201,29,1.71,-1.963,0.271,0.0,15.1
1783971075.301,30,1.294,1.23,0.118,0.0,14.3
1783971075.301,30,1.709,-1.963,0.276,0.0,15.1
1783971075.402,31,1.294,1.23,0.118,0.0,14.4
1783971075.402,31,1.71,-1.963,0.271,0.0,15.1
1783971075.503,32,1.294,1.23,0.117,0.0,14.4
1783971075.503,32,1.711,-1.963,0.268,0.0,15.1
1783971075.605,33,1.293,1.23,0.12,0.0,14.4
1783971075.605,33,1.712,-1.963,0.261,0.0,15.2
1783971075.706,34,1.294,1.23,0.117,0.0,14.3
1783971075.706,34,1.713,-1.963,0.249,0.0,15.3
1783971075.807,35,1.294,1.23,0.118,0.0,14.5
1783971075.807,35,1.713,-1.963,0.255,0.0,15.3
1783971075.908,36,1.294,1.23,0.118,0.0,14.4
1783971075.908,36,1.714,-1.963,0.246,0.0,15.1
1783971076.009,37,1.294,1.23,0.117,0.0,14.6
1783971076.009,37,1.715,-1.963,0.241,0.0,15.3
1783971076.11,38,1.294,1.23,0.117,0.0,14.5
1783971076.11,38,1.715,-1.963,0.236,0.0,15.3
1783971076.21,39,1.294,1.23,0.116,0.0,14.3
1783971076.21,39,1.713,-1.963,0.253,0.0,15.2
1783971076.312,40,1.293,1.23,0.123,0.0,14.4
1783971076.312,40,1.715,-1.963,0.24,0.0,15.4
