track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
2,,static,fabric,2.62,47.5,6.7,0.04,0.04,0.04,4.9,31.9,32.6,0.8,0.0,0.0,0.0,0.0,0.42,0.12,6.47,144.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,,static,mid,3.86,-36.5,4.6,0.05,0.03,0.16,2.0,36.5,36.5,0.5,-0.2,0.2,0.04,0.08,0.0,0.0,0.33,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,,static,fabric,1.78,-47.0,2.6,0.05,0.05,0.04,5.0,24.2,24.4,1.5,-0.01,0.01,0.06,0.03,2.33,0.11,6.87,152.0,0.0,0.0,0.0,0.013,0.987,0.0,0.0,0.0,0.0
5,,unknown,fabric,2.75,22.0,5.2,0.58,1.01,0.28,3.4,31.3,31.5,1.5,-0.1,0.1,0.19,0.32,12.34,0.82,0.54,12.0,0.0,0.0,0.0,0.195,0.805,0.0,0.0,0.0,0.0
6,,static,mid,6.45,24.3,9.8,0.09,0.0,0.47,2.0,44.1,44.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.23,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,,static,fabric,1.95,-16.9,16.6,0.25,0.72,0.54,2.9,23.1,24.2,1.5,-0.01,0.01,0.02,0.02,1.64,0.23,0.38,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,,static,mid,3.24,28.1,26.0,0.17,0.32,0.1,2.0,33.9,33.9,0.7,-0.08,0.08,0.0,0.0,0.0,0.0,0.35,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,,unknown,mid,5.8,-27.6,8.8,0.58,1.51,0.91,5.1,44.3,46.0,1.5,-0.01,0.02,0.04,0.07,10.82,2.63,1.06,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,,pedestrian,fabric,1.19,-8.8,5.3,1.1,0.78,0.33,10.0,21.8,29.5,10.5,0.02,0.1,0.16,0.29,15.46,1.1,3.99,62.0,0.0,0.0,0.0,0.137,0.652,0.211,0.0,0.0,0.0
12,,static,fabric,0.82,-24.0,1.8,0.25,0.04,0.28,5.7,10.9,26.6,8.0,0.15,0.15,0.07,0.09,19.7,0.37,0.36,12.0,0.0,0.0,0.0,0.0,0.147,0.853,0.0,0.0,0.0
11,,static,fabric,1.3,-14.0,3.1,0.23,0.08,0.09,5.8,26.8,27.0,7.5,0.03,0.03,0.07,0.05,17.87,0.36,0.46,12.0,0.0,0.0,0.0,0.0,0.857,0.143,0.0,0.0,0.0
14,,static,fabric,1.42,-14.9,4.1,0.15,0.04,0.05,5.3,26.9,27.2,6.7,-0.01,0.01,0.06,0.03,18.09,0.3,8.47,244.0,0.0,0.0,0.0,0.046,0.94,0.014,0.0,0.0,0.0
15,,unknown,fabric,1.25,16.6,2.1,0.49,0.97,0.14,8.2,24.8,26.1,5.3,0.0,0.0,0.0,0.0,20.0,0.84,0.75,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,,static,metal,7.28,28.9,2.9,0.08,0.09,0.26,2.0,46.4,47.2,0.5,0.0,0.0,0.0,0.0,17.01,0.38,0.84,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,,static,fabric,1.19,-25.3,7.3,0.52,0.08,0.14,6.6,25.3,25.8,6.0,0.05,0.05,0.1,0.14,14.45,0.48,0.42,14.0,0.0,0.0,0.0,0.0,0.783,0.217,0.0,0.0,0.0
18,,unknown,fabric,1.07,-2.1,4.3,0.24,0.04,0.06,4.6,15.6,25.6,5.0,0.04,0.04,0.1,0.06,29.04,0.64,0.43,10.0,0.0,0.0,0.0,0.0,0.826,0.174,0.0,0.0,0.0
19,,static,metal,7.29,26.0,2.0,0.05,0.08,0.28,2.2,46.4,46.5,0.2,0.0,0.0,0.0,0.0,2.22,0.17,0.39,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,,static,fabric,2.88,-40.3,-2.1,0.1,0.09,0.16,6.3,30.6,32.3,0.8,0.0,0.0,0.0,0.0,1.39,0.58,10.98,291.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
