track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
99,,static,metal,1.89,57.1,1.1,0.05,0.09,0.03,5.1,0.3,1.0,2.1,-0.0,0.0,0.04,0.02,2.32,0.54,54.72,761.0,0.0,0.0,0.0,0.01,0.982,0.007,0.0,0.0,0.0
131,,pedestrian,mid,3.67,-41.6,5.3,0.21,0.61,0.17,2.0,5.1,5.1,2.3,-0.2,0.27,0.19,0.26,8.91,0.31,0.33,7.0,0.0,0.0,0.0,0.786,0.0,0.214,0.0,0.0,0.0
100,,unknown,metal,2.32,8.4,2.6,0.18,0.92,0.15,10.1,4.8,20.1,7.9,0.0,0.01,0.05,0.03,10.91,0.97,55.31,769.0,0.0,0.0,0.002,0.005,0.986,0.005,0.002,0.0,0.0
130,,static,unknown,5.93,3.7,0.5,0.02,0.2,0.15,3.3,-1.7,-1.3,0.2,0.0,0.0,0.0,0.0,4.18,0.28,0.68,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
106,,vehicle,metal,1.51,-4.3,4.2,0.03,0.03,0.01,5.3,7.2,25.0,9.9,0.01,0.01,0.08,0.01,28.16,0.76,52.08,693.0,0.0,0.0,0.001,0.003,0.963,0.024,0.009,0.0,0.0
133,,static,mid,1.36,57.3,-2.7,0.37,0.11,0.25,5.6,0.5,4.3,3.1,0.1,0.1,0.17,0.33,3.63,0.13,0.96,20.0,0.0,0.0,0.0,0.0,0.661,0.259,0.08,0.0,0.0
124,,static,unknown,5.14,16.2,8.6,0.05,0.15,0.18,4.2,1.6,3.3,1.8,0.03,0.04,0.12,0.05,3.29,0.84,9.05,101.0,0.0,0.0,0.0,0.007,0.9,0.084,0.009,0.0,0.0
134,,static,mid,3.67,28.2,3.9,0.12,0.7,0.31,8.1,-1.3,5.7,3.1,0.0,0.0,0.0,0.0,0.73,0.51,2.77,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
136,,static,unknown,4.75,0.4,5.7,1.32,0.75,0.53,4.5,0.9,4.0,1.5,0.1,0.15,0.11,0.23,5.34,0.31,0.38,6.0,0.0,0.0,0.0,0.148,0.185,0.667,0.0,0.0,0.0
135,,static,metal,2.27,-5.4,5.8,0.42,0.07,0.09,5.8,3.2,9.2,3.8,0.0,0.0,0.0,0.0,0.2,0.42,2.06,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
137,,static,mid,3.62,-6.4,7.3,0.02,0.11,0.09,2.0,4.6,4.6,1.3,-0.24,0.24,0.08,0.16,0.0,0.0,0.33,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,,static,unknown,7.33,22.1,-4.0,0.01,0.0,0.17,2.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
140,,pedestrian,unknown,4.68,16.3,7.6,0.08,0.14,0.16,2.7,4.6,6.5,1.7,-0.37,0.37,0.09,0.15,4.45,0.19,0.89,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
142,,static,unknown,4.63,9.1,0.7,0.01,0.08,0.18,3.7,1.4,2.6,1.0,0.02,0.02,0.07,0.02,3.5,0.78,1.51,30.0,0.0,0.0,0.0,0.0,0.927,0.073,0.0,0.0,0.0
129,,vehicle,metal,2.14,5.6,3.7,0.66,0.74,0.52,14.3,12.1,24.7,10.3,0.03,0.23,0.3,0.58,25.74,1.5,12.79,204.0,0.0,0.0,0.039,0.264,0.343,0.306,0.048,0.0,0.0
138,,vehicle,metal,2.5,8.9,2.0,0.39,1.06,0.43,11.3,6.2,19.4,8.0,0.02,0.06,0.17,0.2,17.47,1.62,4.86,98.0,0.0,0.0,0.017,0.043,0.828,0.091,0.022,0.0,0.0
144,,static,mid,3.24,15.0,-0.2,0.02,0.34,0.07,5.2,5.5,6.8,2.1,0.0,0.0,0.0,0.0,4.23,0.14,0.27,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
145,,static,metal,3.28,19.4,3.0,0.89,1.12,0.62,8.8,1.7,15.3,6.4,-0.03,0.1,0.19,0.32,12.29,0.23,0.7,4.0,0.0,0.0,0.029,0.171,0.657,0.143,0.0,0.0,0.0
143,,unknown,metal,3.07,17.9,4.0,1.29,1.15,0.73,17.4,4.8,16.8,6.9,-0.04,0.11,0.18,0.43,29.95,1.26,2.52,39.0,0.0,0.0,0.019,0.247,0.606,0.125,0.003,0.0,0.0
147,,pedestrian,unknown,7.63,8.2,6.9,0.32,0.3,0.63,2.0,3.4,3.4,0.8,-0.49,0.49,0.08,0.16,0.0,0.0,0.26,6.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
149,,pedestrian,unknown,4.83,11.9,6.4,0.24,0.95,0.16,3.3,1.3,3.0,1.9,0.3,0.57,0.48,0.88,1.9,0.4,0.53,9.0,0.0,0.0,0.233,0.0,0.0,0.0,0.767,0.0,0.0
132,,static,unknown,8.94,-19.0,1.7,0.06,0.17,0.2,4.7,2.0,4.7,2.0,0.0,0.0,0.0,0.0,0.21,0.03,16.97,254.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
148,,static,mid,3.66,28.7,2.9,0.17,0.58,0.22,6.8,-1.2,6.3,3.1,0.03,0.03,0.09,0.09,0.35,0.37,1.93,30.0,0.0,0.0,0.0,0.0,0.907,0.093,0.0,0.0,0.0
150,,static,unknown,7.32,24.2,-3.4,0.13,0.31,0.49,2.7,0.4,1.4,0.5,-0.01,0.01,0.02,0.02,2.2,0.61,1.61,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152,,unknown,mid,3.35,-38.0,3.6,0.78,0.81,0.79,4.7,4.9,5.4,2.8,-0.11,0.11,0.04,0.05,4.62,1.02,0.59,10.0,0.0,0.0,0.0,0.298,0.702,0.0,0.0,0.0,0.0
156,,pedestrian,unknown,6.17,-8.5,5.0,0.09,0.15,0.29,2.6,2.7,8.1,2.3,-0.32,0.32,0.08,0.12,1.02,0.25,0.96,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
159,,static,fabric,2.11,-25.5,-7.8,0.03,0.38,0.31,3.6,-1.8,-1.6,0.5,0.0,0.0,0.0,0.0,0.1,0.02,0.36,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
158,,static,unknown,4.88,51.4,2.1,0.31,0.23,0.38,3.7,4.0,8.1,2.7,0.17,0.17,0.03,0.03,1.52,0.39,0.99,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
162,,static,fabric,3.79,-44.7,11.9,0.04,0.0,0.14,2.0,-3.4,-3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.35,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
160,,static,fabric,3.88,13.0,9.2,0.09,0.19,0.3,2.9,-3.1,0.3,1.3,0.0,0.0,0.0,0.0,2.33,0.36,1.84,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
