t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1784028148.149,static,mid,0.6,1.16,0.0,0.78,7,0.64,-0.97,-0.02
1784028148.149,static,mid,4.8,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.149,static,metal,2.8,3.98,-0.07,1.74,13,3.89,-0.84,0.12
1784028148.149,static,unknown,1.1,5.93,0.0,0.15,5,5.93,-0.16,0.13
1784028148.149,static,unknown,1.1,8.46,0.0,0.42,5,8.29,-1.59,0.57
1784028148.212,static,mid,1.1,1.16,0.0,0.78,7,0.64,-0.96,-0.02
1784028148.212,static,mid,4.8,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.212,static,metal,2.3,3.98,-0.07,1.76,13,3.89,-0.84,0.11
1784028148.212,static,unknown,1.0,5.93,0.0,0.16,5,5.93,-0.14,0.12
1784028148.212,static,unknown,1.1,8.46,0.0,0.42,5,8.29,-1.59,0.61
1784028148.271,static,mid,1.1,1.15,0.0,0.79,7,0.65,-0.95,-0.01
1784028148.271,static,mid,4.8,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.271,static,metal,2.3,3.98,-0.06,1.77,14,3.89,-0.84,0.11
1784028148.271,static,unknown,1.0,5.93,0.0,0.17,5,5.93,-0.13,0.12
1784028148.271,static,unknown,1.0,8.46,0.0,0.42,5,8.29,-1.59,0.64
1784028148.329,static,mid,1.1,1.15,0.0,0.79,7,0.65,-0.95,-0.0
1784028148.329,static,mid,4.8,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.329,static,metal,2.3,3.99,-0.06,1.77,13,3.9,-0.85,0.1
1784028148.329,static,unknown,1.0,5.93,0.0,0.18,5,5.93,-0.12,0.11
1784028148.329,static,unknown,1.0,8.46,0.0,0.39,5,8.28,-1.59,0.66
1784028148.385,static,mid,1.2,1.15,0.0,0.79,8,0.65,-0.95,0.0
1784028148.385,static,mid,4.8,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.385,static,metal,2.1,4.0,-0.06,1.78,13,3.9,-0.86,0.09
1784028148.385,static,unknown,1.0,5.93,0.0,0.18,5,5.93,-0.12,0.11
1784028148.385,static,unknown,1.0,8.46,0.0,0.36,5,8.28,-1.59,0.68
1784028148.436,static,mid,1.2,1.18,0.0,0.79,7,0.67,-0.97,0.0
1784028148.436,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.436,static,unknown,1.8,4.01,-0.05,1.79,13,3.91,-0.87,0.08
1784028148.436,static,unknown,1.0,5.93,0.0,0.19,5,5.93,-0.12,0.11
1784028148.436,static,unknown,1.0,8.46,0.0,0.34,5,8.28,-1.59,0.69
1784028148.492,static,mid,1.3,1.2,0.0,0.79,7,0.68,-0.98,0.01
1784028148.492,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.492,static,unknown,1.8,4.02,-0.05,1.79,13,3.92,-0.88,0.07
1784028148.492,static,unknown,1.0,5.93,0.0,0.19,5,5.93,-0.11,0.11
1784028148.492,static,unknown,1.0,8.46,0.0,0.32,5,8.28,-1.59,0.69
1784028148.547,static,mid,1.3,1.18,0.0,0.79,7,0.67,-0.97,-0.01
1784028148.547,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.547,static,unknown,1.8,4.03,-0.05,1.79,13,3.93,-0.91,0.04
1784028148.547,static,unknown,1.0,5.93,0.0,0.19,5,5.93,-0.1,0.1
1784028148.547,static,unknown,1.0,8.46,0.0,0.32,5,8.28,-1.59,0.67
1784028148.603,static,mid,1.3,1.18,0.0,0.8,8,0.67,-0.97,-0.02
1784028148.603,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.603,static,unknown,1.8,4.04,-0.04,1.79,13,3.93,-0.92,0.03
1784028148.603,static,unknown,1.0,5.93,0.0,0.19,5,5.93,-0.09,0.09
1784028148.603,static,unknown,1.0,8.46,0.0,0.32,5,8.29,-1.59,0.66
1784028148.603,static,unknown,1.0,8.45,0.0,0.84,2,7.39,1.45,-3.84
1784028148.658,static,mid,1.2,1.15,0.0,0.79,8,0.65,-0.94,-0.04
1784028148.658,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028148.658,static,unknown,1.8,4.21,-0.04,1.7,12,4.14,-0.75,0.09
1784028148.658,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.08,0.08
1784028148.658,static,unknown,1.0,8.46,0.0,0.32,5,8.29,-1.59,0.63
1784028148.658,static,unknown,1.0,8.45,0.0,0.84,2,7.39,1.45,-3.84
1784028148.712,static,mid,1.2,1.11,0.0,0.79,8,0.63,-0.91,-0.06
1784028148.712,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.712,static,unknown,1.7,4.32,-0.04,1.63,12,4.27,-0.64,0.13
1784028148.712,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.08,0.08
1784028148.712,static,unknown,0.7,8.46,0.0,0.32,5,8.29,-1.59,0.6
1784028148.712,static,unknown,1.0,8.45,0.0,0.84,2,7.39,1.45,-3.84
1784028148.765,static,mid,1.2,1.09,0.0,0.79,8,0.61,-0.89,-0.07
1784028148.765,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.765,static,unknown,1.7,4.22,-0.03,1.67,12,4.16,-0.72,0.13
1784028148.765,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.08,0.08
1784028148.765,static,unknown,0.7,8.46,0.0,0.32,5,8.29,-1.59,0.59
1784028148.765,static,unknown,1.0,8.45,0.0,0.84,2,7.39,1.45,-3.84
1784028148.817,static,mid,1.2,1.07,0.0,0.79,8,0.6,-0.89,-0.09
1784028148.817,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.817,static,unknown,1.7,4.15,-0.03,1.7,12,4.08,-0.76,0.15
1784028148.817,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.07,0.08
1784028148.817,static,unknown,0.7,8.46,0.0,0.32,5,8.29,-1.59,0.58
1784028148.817,static,unknown,1.0,8.45,0.0,0.84,2,7.39,1.45,-3.84
1784028148.87,static,mid,1.2,1.08,0.0,0.79,8,0.6,-0.89,-0.09
1784028148.87,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.87,static,unknown,1.2,4.09,-0.03,1.73,12,4.0,-0.8,0.15
1784028148.87,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.06,0.07
1784028148.87,static,unknown,0.7,8.46,0.0,0.32,5,8.29,-1.59,0.56
1784028148.87,static,unknown,0.9,8.45,0.0,0.81,2,7.5,1.5,-3.59
1784028148.875,static,mid,1.2,1.08,0.0,0.79,8,0.59,-0.89,-0.1
1784028148.875,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.875,static,unknown,1.2,4.05,-0.02,1.76,12,3.96,-0.83,0.15
1784028148.875,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.05,0.07
1784028148.875,static,unknown,0.7,8.46,0.0,0.32,5,8.3,-1.59,0.55
1784028148.875,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028148.926,static,mid,1.2,1.07,0.0,0.78,8,0.59,-0.88,-0.11
1784028148.926,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.926,static,metal,1.2,4.0,-0.02,1.78,12,3.9,-0.86,0.15
1784028148.926,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.06,0.06
1784028148.926,static,unknown,0.7,8.46,0.0,0.32,5,8.3,-1.57,0.52
1784028148.926,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028148.93,static,mid,1.2,1.06,0.0,0.78,8,0.59,-0.87,-0.11
1784028148.93,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.93,static,metal,1.2,3.97,-0.01,1.81,12,3.87,-0.87,0.15
1784028148.93,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.06,0.06
1784028148.93,static,unknown,0.7,8.46,0.0,0.32,5,8.3,-1.56,0.5
1784028148.93,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028148.988,static,mid,1.2,1.05,0.0,0.78,8,0.58,-0.87,-0.11
1784028148.988,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.988,static,metal,1.1,3.95,-0.01,1.83,12,3.84,-0.89,0.16
1784028148.988,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.07,0.05
1784028148.988,static,unknown,0.7,8.46,0.0,0.32,5,8.31,-1.55,0.49
1784028148.988,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028148.993,static,mid,1.2,1.05,0.0,0.78,8,0.58,-0.87,-0.12
1784028148.993,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028148.993,static,metal,1.1,3.93,-0.01,1.85,12,3.83,-0.89,0.16
1784028148.993,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.07,0.05
1784028148.993,static,unknown,0.7,8.46,0.0,0.32,5,8.31,-1.54,0.48
1784028148.993,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.053,static,mid,1.2,1.05,0.0,0.78,8,0.58,-0.86,-0.12
1784028149.053,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028149.053,static,metal,0.9,3.91,-0.01,1.86,11,3.79,-0.91,0.16
1784028149.053,static,unknown,1.0,5.93,0.0,0.2,5,5.93,-0.07,0.05
1784028149.053,static,unknown,0.7,8.46,0.0,0.32,5,8.31,-1.54,0.49
1784028149.053,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.058,static,mid,1.2,1.04,0.0,0.78,8,0.58,-0.86,-0.12
1784028149.058,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028149.058,static,metal,0.9,3.89,-0.0,1.87,11,3.77,-0.93,0.16
1784028149.058,static,unknown,1.1,5.92,0.0,0.21,5,5.92,-0.07,0.05
1784028149.058,static,unknown,0.7,8.46,0.0,0.32,5,8.31,-1.53,0.49
1784028149.058,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.116,static,mid,1.2,1.04,0.0,0.78,8,0.58,-0.85,-0.12
1784028149.116,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028149.116,static,metal,0.9,3.88,-0.0,1.88,11,3.76,-0.93,0.17
1784028149.116,static,unknown,1.1,5.92,0.0,0.21,5,5.92,-0.07,0.04
1784028149.116,static,unknown,0.7,8.46,0.0,0.32,5,8.31,-1.53,0.5
1784028149.116,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.121,static,mid,1.2,1.04,0.0,0.78,8,0.58,-0.86,-0.12
1784028149.121,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028149.121,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.121,static,unknown,1.1,5.92,0.0,0.21,5,5.92,-0.06,0.04
1784028149.121,static,unknown,0.7,8.46,0.0,0.32,5,8.31,-1.53,0.51
1784028149.121,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.179,static,mid,1.2,1.04,0.0,0.78,8,0.58,-0.85,-0.13
1784028149.179,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028149.179,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.179,static,unknown,1.1,5.92,0.0,0.21,5,5.92,-0.05,0.04
1784028149.179,static,unknown,0.7,8.46,0.0,0.32,5,8.31,-1.53,0.52
1784028149.179,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.183,static,mid,1.2,1.04,0.0,0.78,8,0.58,-0.85,-0.13
1784028149.183,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028149.183,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.183,static,unknown,1.2,5.92,0.0,0.21,5,5.92,-0.05,0.04
1784028149.183,static,unknown,0.6,8.47,0.0,0.32,5,8.31,-1.53,0.52
1784028149.183,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.183,static,mid,0.8,3.69,0.03,0.95,6,3.46,-1.27,0.01
1784028149.265,static,mid,1.2,1.04,0.0,0.78,8,0.58,-0.85,-0.13
1784028149.265,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028149.265,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.265,static,unknown,1.2,5.92,0.0,0.21,5,5.92,-0.06,0.03
1784028149.265,static,unknown,0.6,8.46,0.0,0.32,5,8.31,-1.53,0.5
1784028149.265,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.265,static,mid,0.8,3.68,0.03,0.98,6,3.46,-1.25,-0.02
1784028149.276,static,mid,1.2,1.04,0.0,0.78,8,0.58,-0.85,-0.13
1784028149.276,static,mid,4.7,2.27,0.0,0.01,5,2.24,0.35,0.08
1784028149.276,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.276,static,unknown,1.2,5.92,0.0,0.21,5,5.92,-0.07,0.03
1784028149.276,static,unknown,0.6,8.46,0.0,0.32,5,8.31,-1.53,0.49
1784028149.276,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.276,static,mid,0.7,3.68,0.02,1.02,7,3.45,-1.25,-0.04
1784028149.333,static,mid,1.2,1.03,0.0,0.78,8,0.58,-0.84,-0.13
1784028149.333,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028149.333,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.333,static,unknown,1.2,5.92,0.0,0.21,5,5.92,-0.08,0.03
1784028149.333,static,unknown,0.6,8.46,0.0,0.32,5,8.31,-1.53,0.49
1784028149.333,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.333,static,mid,0.4,3.67,0.02,1.02,7,3.44,-1.29,-0.06
1784028149.34,static,mid,1.2,1.02,0.0,0.78,8,0.58,-0.83,-0.13
1784028149.34,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028149.34,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.34,static,unknown,1.2,5.91,0.0,0.21,5,5.91,-0.09,0.03
1784028149.34,static,unknown,0.6,8.46,0.0,0.32,5,8.31,-1.53,0.48
1784028149.34,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.34,static,mid,0.4,3.67,0.02,1.03,7,3.42,-1.32,-0.08
1784028149.402,static,mid,1.2,1.02,0.0,0.78,8,0.57,-0.83,-0.13
1784028149.402,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028149.402,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.402,static,unknown,1.2,5.91,0.0,0.21,5,5.91,-0.1,0.03
1784028149.402,static,unknown,0.6,8.46,0.0,0.32,5,8.31,-1.53,0.48
1784028149.402,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.402,static,mid,0.4,3.67,0.02,1.03,6,3.41,-1.33,-0.09
1784028149.405,static,mid,1.2,1.01,0.0,0.78,8,0.57,-0.83,-0.13
1784028149.405,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
1784028149.405,static,metal,0.9,3.83,-0.0,1.88,11,3.7,-0.96,0.15
1784028149.405,static,unknown,1.2,5.91,0.0,0.21,5,5.91,-0.1,0.03
1784028149.405,static,unknown,0.6,8.46,0.0,0.32,5,8.31,-1.53,0.48
1784028149.405,static,unknown,0.9,8.45,0.0,0.79,2,7.56,1.53,-3.44
1784028149.405,static,mid,0.4,3.67,0.02,1.04,6,3.41,-1.34,-0.1
1784028149.492,static,mid,1.2,1.02,0.0,0.78,8,0.58,-0.83,-0.13
1784028149.492,static,mid,4.7,2.27,0.0,0.0,5,2.24,0.35,0.08
