t,frame,x,y,z,doppler,snr_db,noise_db
1784028144.51,1,0.377,-0.511,-0.157,0.0,12.9,67.9
1784028144.51,1,0.701,-1.104,-0.04,0.0,16.2,64.7
1784028144.51,1,2.239,0.354,0.078,0.0,19.2,76.9
1784028144.51,1,3.349,-1.489,-0.04,0.0,16.8,67.2
1784028144.51,1,4.615,-0.289,0.095,0.0,16.8,66.6
1784028144.51,1,5.932,-0.0,0.129,0.0,14.8,60.1
1784028144.51,1,8.124,1.316,1.781,0.0,11.8,58.6
1784028144.51,1,4.84,1.088,0.353,0.325,22.1,50.8
1784028144.635,2,0.377,-0.511,-0.158,0.0,12.8,68.1
1784028144.635,2,0.702,-1.104,-0.015,0.0,16.3,64.8
1784028144.635,2,2.239,0.354,0.079,0.0,19.2,76.8
1784028144.635,2,3.348,-1.489,-0.046,0.0,16.7,67.4
1784028144.635,2,4.615,-0.289,0.08,0.0,16.8,66.6
1784028144.635,2,5.933,-0.0,0.052,0.0,14.0,61.1
1784028144.635,2,0.748,0.311,0.176,0.162,13.3,49.5
1784028144.635,2,0.687,-0.44,0.146,0.162,13.3,49.5
1784028144.635,2,4.643,1.362,0.211,0.568,14.9,50.0
1784028144.699,3,0.377,-0.511,-0.157,0.0,12.2,68.7
1784028144.699,3,0.702,-1.104,-0.024,0.0,15.6,65.5
1784028144.699,3,2.239,0.354,0.081,0.0,19.1,77.0
1784028144.699,3,3.349,-1.489,-0.034,0.0,16.9,67.1
1784028144.699,3,4.615,-0.289,0.09,0.0,17.1,66.3
1784028144.699,3,5.933,-0.0,0.063,0.0,14.1,60.8
1784028144.699,3,0.794,0.13,-0.201,0.162,12.9,50.0
1784028144.699,3,4.686,1.374,0.173,0.406,17.0,50.5
1784028144.824,4,0.374,-0.511,-0.164,0.0,12.0,68.9
1784028144.824,4,0.702,-1.104,-0.037,0.0,14.4,66.6
1784028144.824,4,2.24,0.354,0.077,0.0,19.0,77.0
1784028144.824,4,3.348,-1.489,-0.043,0.0,16.6,67.5
1784028144.824,4,4.603,-0.434,0.085,0.0,16.3,67.1
1784028144.824,4,5.933,-0.0,0.078,0.0,13.9,61.0
1784028144.887,5,0.378,-0.511,-0.154,0.0,12.8,68.0
1784028144.887,5,0.7,-1.104,0.063,0.0,17.0,64.7
1784028144.887,5,2.24,0.354,0.072,0.0,19.0,77.1
1784028144.887,5,3.348,-1.489,-0.045,0.0,17.2,66.8
1784028144.887,5,4.615,-0.289,0.066,0.0,16.8,66.6
1784028144.887,5,5.933,-0.0,0.06,0.0,13.2,61.7
1784028144.887,5,0.849,0.172,0.299,-0.162,12.5,51.5
1784028144.887,5,0.91,0.057,0.086,-0.162,12.5,51.5
1784028145.014,6,0.377,-0.511,-0.156,0.0,12.3,68.5
1784028145.014,6,0.701,-1.104,-0.05,0.0,15.4,65.4
1784028145.014,6,2.24,0.354,0.077,0.0,19.1,76.9
1784028145.014,6,3.349,-1.489,-0.041,0.0,16.7,67.3
1784028145.014,6,4.604,-0.434,0.078,0.0,16.7,66.7
1784028145.014,6,5.931,-0.185,0.025,0.0,13.8,61.2
1784028145.014,6,2.883,0.457,0.15,-0.162,12.8,57.5
1784028145.014,6,4.916,0.957,0.986,-0.081,11.4,58.7
1784028145.076,7,0.377,-0.511,-0.157,0.0,12.9,67.9
1784028145.076,7,0.702,-1.104,-0.02,0.0,15.9,65.1
1784028145.076,7,2.239,0.354,0.08,0.0,18.9,77.1
1784028145.076,7,3.349,-1.489,-0.035,0.0,17.4,66.6
1784028145.076,7,4.615,-0.289,0.09,0.0,17.1,66.3
1784028145.076,7,5.933,-0.0,0.046,0.0,13.5,61.5
1784028145.076,7,4.909,1.107,0.542,-0.162,15.9,55.1
1784028145.203,8,0.379,-0.511,-0.153,0.0,12.7,68.2
1784028145.203,8,0.702,-1.104,0.034,0.0,16.2,64.9
1784028145.203,8,2.239,0.354,0.083,0.0,19.2,76.9
1784028145.203,8,3.349,-1.489,-0.015,0.0,16.8,67.1
1784028145.203,8,4.604,-0.434,0.072,0.0,16.5,67.0
1784028145.203,8,5.93,-0.185,0.072,0.0,13.4,61.5
1784028145.203,8,0.745,0.259,-0.256,-0.162,15.1,50.8
1784028145.203,8,4.934,0.949,0.603,-0.081,13.4,59.0
1784028145.309,9,0.378,-0.511,-0.154,0.0,12.4,68.5
1784028145.309,9,0.698,-1.104,-0.077,0.0,15.1,65.7
1784028145.309,9,2.239,0.354,0.079,0.0,18.9,77.1
1784028145.309,9,3.349,-1.489,-0.035,0.0,16.8,67.3
1784028145.309,9,4.615,-0.289,0.08,0.0,16.8,66.7
1784028145.309,9,5.933,-0.0,0.027,0.0,13.5,61.4
1784028145.309,9,0.87,0.286,-0.002,-0.243,15.6,48.6
1784028145.41,10,0.38,-0.511,-0.15,0.0,12.3,68.4
1784028145.41,10,0.702,-1.104,0.022,0.0,15.4,65.8
1784028145.41,10,2.249,0.284,0.085,0.0,19.1,76.9
1784028145.41,10,3.349,-1.489,-0.009,0.0,16.7,67.2
1784028145.41,10,4.604,-0.434,0.067,0.0,16.5,66.9
1784028145.41,10,5.93,-0.185,0.064,0.0,14.1,60.8
1784028145.41,10,8.303,-1.587,0.42,0.0,12.2,58.1
1784028145.41,10,0.715,0.409,-0.287,-0.162,15.6,51.7
1784028145.41,10,6.039,1.355,0.267,-0.162,13.2,52.4
1784028145.512,11,0.347,-0.532,-0.158,0.0,12.0,68.6
1784028145.512,11,0.698,-1.104,-0.079,0.0,15.1,65.7
1784028145.512,11,2.249,0.284,0.089,0.0,19.2,76.8
1784028145.512,11,3.348,-1.489,-0.049,0.0,17.3,66.6
1784028145.512,11,4.604,-0.434,0.072,0.0,16.9,66.5
1784028145.512,11,5.93,-0.185,0.094,0.0,14.1,60.7
1784028145.512,11,8.302,-1.587,0.436,0.0,13.6,57.2
1784028145.512,11,0.869,0.082,-0.008,-0.162,16.5,50.2
1784028145.615,12,0.385,-0.511,-0.136,0.0,12.2,68.6
1784028145.615,12,0.702,-1.104,0.032,0.0,15.1,66.3
1784028145.615,12,2.239,0.354,0.078,0.0,19.2,76.8
1784028145.615,12,3.346,-1.489,-0.14,0.0,17.2,66.8
1784028145.615,12,4.604,-0.434,0.081,0.0,17.0,66.4
1784028145.615,12,5.93,-0.185,0.064,0.0,13.6,61.2
