seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
123,634236122,0,1003,13,-13,-280,-1050,-70
124,634241126,0,1003,13,-13,-280,-1050,-70
125,634246123,0,1003,13,-13,-280,-1050,-70
126,634251121,0,1002,13,-12,-210,-980,-140
127,634256124,0,1002,13,-12,-210,-980,-140
128,634261121,0,1002,13,-12,-210,-980,-140
129,634266123,0,1002,13,-12,-210,-980,-140
130,634271124,0,1002,12,-10,-280,-980,-70
131,634276125,0,1002,12,-10,-280,-980,-70
132,634281124,0,1002,12,-10,-280,-980,-70
133,634286121,0,1002,12,-10,-280,-980,-70
134,634291123,0,1002,13,-10,-280,-980,-70
135,634296124,0,1002,13,-10,-280,-980,-70
136,634301123,0,1002,13,-10,-280,-980,-70
137,634306124,0,1002,13,-10,-210,-1050,-70
138,634311121,0,1002,13,-10,-210,-1050,-70
139,634316120,0,1002,13,-10,-210,-1050,-70
140,634321123,0,1002,13,-10,-210,-1050,-70
141,634326122,0,1003,13,-12,-210,-1120,-70
142,634331219,0,1003,13,-12,-210,-1120,-70
143,634336125,0,1003,13,-12,-210,-1120,-70
144,634341125,0,1003,13,-12,-210,-1120,-70
145,634346124,0,1002,13,-13,-280,-1120,-70
146,634351123,0,1002,13,-13,-280,-1120,-70
147,634356121,0,1002,13,-13,-280,-1120,-70
148,634361120,0,1001,13,-13,-280,-1050,0
149,634366124,0,1001,13,-13,-280,-1050,0
150,634371121,0,1001,13,-13,-280,-1050,0
151,634376124,0,1001,13,-13,-280,-1050,0
152,634381123,0,1002,12,-11,-210,-980,-70
153,634386126,0,1002,12,-11,-210,-980,-70
154,634391121,0,1002,12,-11,-210,-980,-70
155,634396126,0,1002,12,-11,-210,-980,-70
156,634401125,0,1001,13,-11,-280,-980,-140
157,634406126,0,1001,13,-11,-280,-980,-140
158,634411123,0,1001,13,-11,-280,-980,-140
159,634416123,0,1002,14,-11,-280,-980,-70
160,634421123,0,1002,14,-11,-280,-980,-70
161,634426142,0,1002,14,-11,-280,-980,-70
162,634431126,0,1002,14,-11,-280,-980,-70
163,634436123,0,1002,14,-10,-280,-1050,-70
164,634441123,0,1002,14,-10,-280,-1050,-70
165,634446122,0,1002,14,-10,-280,-1050,-70
166,634451123,0,1002,14,-10,-280,-1050,-70
167,634456124,0,1002,14,-12,-280,-1050,-70
168,634461121,0,1002,14,-12,-280,-1050,-70
169,634466121,0,1002,14,-12,-280,-1050,-70
170,634471124,0,1002,14,-12,-280,-1050,-70
171,634476124,0,1002,13,-11,-210,-1050,-70
172,634481123,0,1002,13,-11,-210,-1050,-70
173,634486127,0,1002,13,-11,-210,-1050,-70
174,634491125,0,1002,12,-11,-210,-1050,-70
175,634496126,0,1002,12,-11,-210,-1050,-70
176,634501123,0,1002,12,-11,-210,-1050,-70
177,634506122,0,1002,12,-11,-210,-1050,-70
178,634511120,0,1001,12,-11,-280,-1050,-70
179,634516123,0,1001,12,-11,-280,-1050,-70
180,634521121,0,1001,12,-11,-280,-1050,-70
181,634526121,0,1001,12,-11,-280,-1050,-70
182,634531123,0,1002,13,-12,-280,-1050,-70
183,634536121,0,1002,13,-12,-280,-1050,-70
184,634541122,0,1002,13,-12,-280,-1050,-70
185,634546123,0,1001,14,-11,-210,-980,-140
186,634551122,0,1001,14,-11,-210,-980,-140
187,634556124,0,1001,14,-11,-210,-980,-140
188,634561121,0,1001,14,-11,-210,-980,-140
189,634566124,0,1001,14,-11,-210,-1050,-70
190,634571121,0,1001,14,-11,-210,-1050,-70
191,634576123,0,1001,14,-11,-210,-1050,-70
192,634581122,0,1001,14,-11,-210,-1050,-70
193,634586122,0,1003,13,-10,-210,-980,-70
194,634591120,0,1003,13,-10,-210,-980,-70
195,634596123,0,1003,13,-10,-210,-980,-70
196,634601120,0,1001,13,-10,-280,-1050,-70
197,634606122,0,1001,13,-10,-280,-1050,-70
