t,frame,x,y,z,doppler,snr_db
1783972886.374,1,0.535,-0.92,-0.504,0.0,12.4
1783972886.374,1,1.09,0.442,0.074,0.0,12.4
1783972886.374,1,7.345,-1.898,0.283,0.0,13.6
1783972886.374,1,6.863,1.186,3.021,0.0,13.6
1783972886.374,1,7.45,-1.952,1.294,0.0,14.8
1783972886.432,2,0.86,0.638,0.375,0.0,11.4
1783972886.432,2,3.903,6.332,0.996,0.0,13.3
1783972886.432,2,7.47,0.469,0.544,0.0,13.3
1783972886.432,2,7.386,-1.909,0.307,0.0,14.9
1783972886.432,2,7.419,-2.196,1.059,0.0,12.8
1783972886.548,3,1.106,0.405,-0.005,0.0,11.8
1783972886.548,3,7.346,-1.898,0.249,0.0,16.8
1783972886.548,3,6.678,0.949,3.484,0.0,16.8
1783972886.548,3,7.429,-2.196,0.989,0.0,13.6
1783972886.548,3,0.743,-0.13,-0.345,0.162,13.2
1783972886.657,4,1.119,0.368,0.032,0.0,11.6
1783972886.657,4,3.951,6.332,0.785,0.0,12.7
1783972886.657,4,7.395,0.235,1.256,0.0,12.7
1783972886.657,4,7.308,-1.898,0.785,0.0,14.2
1783972886.657,4,7.532,0.949,0.0,0.0,14.2
1783972886.657,4,7.432,-2.196,0.965,0.0,12.9
1783972886.657,4,0.814,-0.155,0.021,0.162,12.5
1783972886.773,5,0.802,0.674,0.435,0.0,12.0
1783972886.773,5,3.95,6.332,0.79,0.0,12.3
1783972886.773,5,7.489,0.469,0.013,0.0,12.3
1783972886.773,5,7.267,0.954,2.137,0.0,11.5
1783972886.773,5,7.365,-1.67,-1.124,0.0,11.5
1783972886.773,5,7.47,-2.196,0.604,0.0,13.4
1783972886.773,5,6.83,0.244,3.779,0.0,13.4
1783972886.773,5,0.683,0.518,-0.164,0.162,12.4
1783972886.88,6,1.106,0.405,0.026,0.0,12.0
1783972886.88,6,3.906,6.332,0.981,0.0,12.6
1783972886.88,6,7.387,0.469,1.237,0.0,12.6
1783972886.88,6,7.544,0.954,0.683,0.0,12.1
1783972886.88,6,7.524,-1.952,0.749,0.0,15.1
1783972886.945,7,1.119,0.368,0.029,0.0,11.3
1783972886.945,7,4.008,6.332,0.394,0.0,12.3
1783972886.945,7,7.275,-1.92,1.531,0.0,15.0
1783972886.945,7,7.234,0.72,-2.473,0.0,15.0
1783972886.945,7,7.439,-1.941,1.097,0.0,14.3
1783972886.945,7,7.779,0.736,0.782,0.0,11.8
1783972887.046,8,1.106,0.405,-0.008,0.0,11.6
1783972887.046,8,7.304,-1.898,0.827,0.0,15.4
1783972887.046,8,7.006,1.186,-2.671,0.0,15.4
1783972887.046,8,7.445,-1.952,1.32,0.0,13.9
1783972887.148,9,0.837,0.674,0.365,0.0,11.4
1783972887.148,9,7.294,-1.898,0.91,0.0,14.4
1783972887.148,9,7.305,0.949,-1.836,0.0,14.4
1783972887.148,9,7.609,0.72,-0.736,0.0,13.0
1783972887.148,9,7.283,-1.92,1.496,0.0,13.0
1783972887.148,9,7.401,-1.952,1.549,0.0,14.5
1783972887.148,9,7.746,0.976,0.198,0.0,14.5
1783972887.249,10,0.521,-0.886,-0.479,0.0,11.9
1783972887.249,10,0.786,0.674,0.464,0.0,11.9
1783972887.249,10,7.264,-1.898,1.12,0.0,14.1
1783972887.249,10,7.473,0.949,-0.94,0.0,14.1
1783972887.249,10,7.315,-2.184,1.423,0.0,16.8
1783972887.351,11,3.978,6.332,0.63,0.0,11.8
1783972887.351,11,6.994,-2.111,1.717,0.0,11.8
1783972887.351,11,7.268,-2.147,0.928,0.0,12.6
1783972887.351,11,7.541,1.193,-0.023,0.0,12.6
1783972887.351,11,7.214,-2.184,1.87,0.0,14.2
1783972887.451,12,0.808,0.674,0.424,0.0,11.5
1783972887.451,12,3.897,6.332,1.016,0.0,12.6
1783972887.451,12,7.201,-1.909,1.674,0.0,13.0
1783972887.451,12,7.53,0.954,-0.823,0.0,13.0
1783972887.451,12,7.342,-1.941,1.621,0.0,16.1
1783972887.451,12,8.438,-0.532,0.944,0.0,11.7
