track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
115,,static,metal,7.63,9.4,17.2,0.07,0.48,0.02,2.0,49.6,49.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.21,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
111,,static,metal,7.69,-10.3,-6.9,0.27,0.5,1.29,3.8,48.6,49.6,1.0,0.0,0.0,0.0,0.0,6.29,0.75,1.92,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
107,,unknown,fabric,1.13,57.2,-18.6,0.19,0.45,0.25,4.8,14.4,15.4,1.1,-0.01,0.02,0.06,0.06,0.02,1.69,5.71,70.0,0.0,0.0,0.0,0.045,0.952,0.003,0.0,0.0,0.0
109,,static,fabric,1.13,-37.0,20.2,0.16,0.41,0.39,4.5,14.4,16.4,1.6,0.02,0.02,0.08,0.05,0.03,0.08,4.65,60.0,0.0,0.0,0.0,0.0,0.948,0.052,0.0,0.0,0.0
113,,unknown,metal,7.68,-15.8,-8.8,0.23,0.39,1.0,3.0,48.4,52.6,1.8,0.0,0.0,0.0,0.0,7.48,2.0,2.26,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,,unknown,metal,7.76,-16.3,3.5,0.25,0.42,0.8,3.2,48.2,50.1,1.1,0.0,0.0,0.0,0.0,1.81,2.52,5.25,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
116,,static,metal,7.72,-14.8,9.6,0.2,0.19,0.81,2.0,48.1,52.2,2.0,0.0,0.0,0.0,0.0,2.3,0.51,0.86,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
117,,unknown,metal,7.71,-15.5,-12.9,0.18,0.19,0.58,2.2,47.5,50.6,1.6,0.0,0.0,0.0,0.0,3.52,1.59,1.86,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,,static,metal,7.76,-15.7,6.0,0.34,0.57,1.2,3.0,48.6,51.5,1.5,0.0,0.0,0.0,0.0,2.1,0.31,0.46,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
122,,static,metal,7.56,-15.9,-25.2,0.32,0.14,0.54,2.2,50.1,51.3,1.5,0.0,0.0,0.0,0.0,1.23,0.58,1.04,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
123,,static,metal,7.53,-16.9,19.0,0.22,0.24,0.52,2.0,48.4,50.0,1.3,0.0,0.0,0.0,0.0,4.91,1.09,0.69,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,,unknown,metal,7.72,-13.1,-13.4,0.22,0.3,0.91,3.2,48.8,51.0,1.5,0.0,0.0,0.0,0.0,0.89,1.69,3.62,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
126,,static,metal,7.49,-16.9,9.9,0.23,0.61,0.29,2.7,47.4,49.9,1.4,0.0,0.0,0.0,0.0,2.76,1.02,1.05,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
127,,unknown,metal,7.75,9.8,24.0,0.34,0.1,0.86,2.8,49.6,50.1,0.9,0.0,0.0,0.0,0.0,2.75,1.45,1.42,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
128,,static,metal,7.61,-16.2,23.7,0.21,0.18,0.57,2.3,49.7,50.1,1.2,0.0,0.0,0.0,0.0,0.61,0.11,0.55,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,,static,fabric,1.13,57.8,-18.2,0.04,0.02,0.03,2.9,13.9,14.4,0.4,0.0,0.0,0.0,0.0,0.21,0.05,8.63,87.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119,,static,fabric,1.14,-39.4,23.8,0.07,0.03,0.08,2.9,14.0,14.4,0.4,0.0,0.0,0.0,0.0,0.03,0.08,8.63,86.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
129,,static,metal,7.76,10.2,26.2,0.2,0.25,0.49,2.7,48.5,49.6,1.1,0.0,0.0,0.0,0.0,2.09,0.61,1.94,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
133,,static,metal,7.76,10.3,23.2,0.33,0.15,0.8,3.1,50.3,51.9,1.4,0.0,0.0,0.0,0.0,0.39,0.1,0.48,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
134,,static,metal,7.5,-16.5,-21.3,0.1,0.23,0.07,2.0,50.1,50.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.18,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125,,unknown,metal,7.62,-13.8,-13.4,0.43,0.6,1.6,5.2,49.2,51.3,1.6,0.0,0.0,0.0,0.0,3.54,1.32,9.42,140.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132,,static,metal,7.62,-15.2,17.4,0.35,0.15,0.93,3.6,51.5,53.2,1.5,0.0,0.0,0.0,0.0,3.21,0.17,2.9,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,,static,fabric,1.13,-42.1,27.9,0.16,0.08,0.33,3.2,13.8,14.4,1.0,-0.02,0.02,0.12,0.07,0.14,0.44,4.32,61.0,0.0,0.0,0.036,0.0,0.964,0.0,0.0,0.0,0.0
130,,static,fabric,1.14,55.6,-18.4,0.02,0.01,0.04,3.2,13.8,14.4,0.3,0.0,0.0,0.0,0.0,0.02,0.03,4.45,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135,,unknown,metal,7.44,-15.1,-0.7,0.53,0.93,2.46,7.0,49.4,51.1,1.6,0.0,0.0,0.0,0.0,1.7,1.6,2.05,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
137,,static,metal,7.62,-16.6,14.2,0.3,0.36,0.94,2.8,50.6,53.1,1.5,0.0,0.0,0.0,0.0,1.15,0.13,0.74,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
138,,unknown,metal,7.67,-12.9,-5.0,0.42,0.39,0.91,3.2,47.3,50.8,1.6,0.0,0.0,0.0,0.0,7.13,1.54,0.75,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
81,,static,metal,7.62,8.4,7.4,0.24,0.42,1.46,6.6,48.4,53.1,2.2,0.0,0.0,0.01,0.0,1.81,0.59,44.62,647.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
139,,unknown,metal,7.63,-15.2,9.8,0.58,0.75,1.88,5.3,48.9,50.8,1.6,0.0,0.0,0.0,0.0,8.01,4.95,1.75,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
140,,unknown,metal,7.65,5.8,8.1,0.29,0.5,1.41,5.6,48.9,51.4,1.6,0.0,0.0,0.0,0.0,4.74,1.49,1.04,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
144,,unknown,metal,7.6,-15.6,-3.3,0.34,0.55,1.4,4.4,49.4,51.0,1.4,0.0,0.0,0.0,0.0,2.75,1.47,2.91,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
150,,static,metal,7.74,4.7,-17.4,0.3,0.23,0.46,2.0,49.8,49.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.32,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
141,,unknown,metal,7.61,-13.6,-6.1,0.16,0.26,0.8,2.8,47.8,50.0,1.2,0.0,0.0,0.0,0.0,6.83,3.15,4.54,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
148,,static,metal,7.58,-18.5,23.1,0.24,0.35,0.32,2.3,48.2,50.0,0.8,0.0,0.0,0.0,0.0,1.49,0.48,1.33,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
146,,static,fabric,1.13,56.7,-17.8,0.03,0.03,0.04,2.0,13.7,14.2,0.3,0.0,0.0,0.0,0.0,0.15,0.03,2.28,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
147,,static,fabric,1.12,-40.9,26.0,0.18,0.12,0.38,2.0,13.7,14.2,0.3,0.0,0.0,0.0,0.0,0.97,0.04,2.28,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
