t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1783972890.466,static,fabric,14.2,1.12,0.0,0.65,3,0.99,0.51,0.18
1783972890.466,static,metal,48.3,7.5,0.0,0.76,5,4.22,6.16,0.73
1783972890.466,static,metal,48.1,7.58,0.0,2.43,5,7.16,0.67,2.41
1783972890.466,static,metal,48.1,7.64,0.0,3.12,6,7.3,-2.13,0.71
1783972890.535,static,fabric,14.2,1.12,0.0,0.64,3,0.97,0.53,0.2
1783972890.535,static,metal,48.3,7.5,0.0,0.77,5,4.22,6.15,0.73
1783972890.535,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972890.535,static,metal,48.1,7.63,0.0,2.99,7,7.29,-2.12,0.79
1783972890.598,static,fabric,14.2,1.13,0.0,0.64,4,0.96,0.54,0.21
1783972890.598,static,metal,48.3,7.5,0.0,0.75,5,4.22,6.15,0.71
1783972890.598,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972890.598,static,metal,48.1,7.63,0.0,2.78,7,7.29,-2.1,0.83
1783972890.665,static,fabric,14.2,1.13,0.0,0.64,4,0.96,0.55,0.22
1783972890.665,static,metal,48.3,7.5,0.0,0.74,5,4.23,6.16,0.69
1783972890.665,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972890.665,static,metal,48.1,7.63,0.0,2.63,7,7.28,-2.09,0.86
1783972890.728,static,fabric,14.2,1.13,0.0,0.63,4,0.96,0.55,0.21
1783972890.728,static,metal,48.3,7.5,0.0,0.73,4,4.2,6.17,0.67
1783972890.728,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972890.728,static,metal,48.1,7.62,0.0,2.52,7,7.27,-2.08,0.93
1783972890.792,static,fabric,14.2,1.13,0.0,0.61,4,0.94,0.57,0.23
1783972890.792,static,metal,48.2,7.5,0.0,0.72,4,4.14,6.21,0.7
1783972890.792,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972890.792,static,metal,48.1,7.61,0.0,2.44,7,7.26,-2.06,0.94
1783972890.859,static,fabric,14.3,1.13,0.0,0.6,4,0.95,0.57,0.22
1783972890.859,static,metal,48.2,7.5,0.0,0.71,4,4.11,6.23,0.71
1783972890.859,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972890.859,static,metal,48.1,7.6,0.0,2.37,7,7.26,-2.05,0.94
1783972890.934,static,fabric,14.3,1.13,0.0,0.59,4,0.95,0.57,0.22
1783972890.934,static,metal,48.1,7.5,0.0,0.68,4,4.05,6.26,0.75
1783972890.934,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972890.934,static,metal,48.2,7.61,0.0,2.31,7,7.26,-2.07,0.96
1783972890.999,static,fabric,14.3,1.13,0.0,0.59,4,0.93,0.59,0.25
1783972890.999,static,metal,48.1,7.5,0.0,0.65,4,4.01,6.29,0.78
1783972890.999,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972890.999,static,metal,48.2,7.61,0.0,2.22,7,7.26,-2.06,1.01
1783972891.063,static,fabric,14.3,1.13,0.0,0.58,4,0.93,0.59,0.26
1783972891.063,static,metal,48.1,7.5,0.0,0.62,4,3.99,6.3,0.77
1783972891.063,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972891.063,static,metal,48.9,7.6,0.0,2.11,7,7.24,-2.03,1.1
1783972891.063,static,metal,48.6,7.63,0.0,1.64,3,7.58,0.79,-0.37
1783972891.126,static,fabric,14.2,1.13,0.0,0.57,4,0.92,0.6,0.27
1783972891.126,static,metal,48.1,7.5,0.0,0.62,4,4.02,6.28,0.76
1783972891.126,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972891.126,static,metal,48.9,7.59,0.0,2.03,7,7.2,-2.07,1.19
1783972891.126,static,metal,48.6,7.62,0.0,1.89,4,7.58,0.78,-0.07
1783972891.191,static,fabric,14.2,1.13,0.0,0.57,4,0.94,0.58,0.25
1783972891.191,static,metal,48.1,7.5,0.0,0.61,4,4.05,6.26,0.78
1783972891.191,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972891.191,static,metal,48.9,7.59,0.0,1.98,6,7.21,-2.08,1.14
1783972891.191,unknown,metal,48.5,7.63,0.0,2.06,4,7.59,0.76,0.11
1783972891.255,static,fabric,14.2,1.13,0.0,0.57,4,0.95,0.57,0.25
1783972891.255,static,metal,48.1,7.5,0.0,0.61,4,4.08,6.24,0.8
1783972891.255,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972891.255,static,metal,48.9,7.6,0.0,2.05,7,7.19,-2.07,1.29
1783972891.255,unknown,metal,48.5,7.63,0.0,2.28,5,7.59,0.78,0.13
1783972891.321,static,fabric,14.2,1.13,0.0,0.57,4,0.96,0.56,0.24
1783972891.321,static,metal,48.1,7.5,0.0,0.61,4,4.08,6.24,0.8
1783972891.321,static,metal,48.1,7.58,0.0,2.28,5,7.14,0.66,2.46
1783972891.321,static,metal,48.9,7.61,0.0,2.07,7,7.2,-2.07,1.31
1783972891.321,unknown,metal,48.5,7.65,0.0,2.28,5,7.59,0.9,0.05
1783972891.399,static,fabric,14.2,1.13,0.0,0.57,4,0.95,0.57,0.25
1783972891.399,static,metal,48.1,7.5,0.0,0.58,4,4.17,6.19,0.72
