t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1783975673.114,static,fabric,-0.1,1.01,0.0,0.8,23,0.99,-0.18,0.1
1783975673.114,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.114,static,unknown,7.3,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.114,static,unknown,1.1,8.46,0.0,0.59,5,8.24,1.42,1.32
1783975673.169,static,fabric,-0.1,1.02,0.0,0.8,24,0.99,-0.18,0.1
1783975673.169,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.169,static,unknown,7.3,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.169,static,unknown,1.1,8.46,0.0,0.59,5,8.24,1.43,1.32
1783975673.257,static,fabric,-0.1,1.01,0.0,0.8,24,0.99,-0.18,0.11
1783975673.257,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.257,static,unknown,7.3,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.257,static,unknown,1.1,8.46,0.0,0.59,5,8.24,1.43,1.32
1783975673.312,static,fabric,-0.2,1.01,0.0,0.8,23,0.98,-0.18,0.11
1783975673.312,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.312,static,unknown,7.3,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.312,static,unknown,1.1,8.46,0.0,0.57,5,8.24,1.45,1.28
1783975673.377,static,fabric,-0.2,1.0,0.0,0.8,23,0.98,-0.18,0.11
1783975673.377,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.377,static,unknown,7.3,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.377,static,unknown,1.1,8.46,0.0,0.55,5,8.24,1.46,1.26
1783975673.444,static,fabric,-0.2,0.99,0.0,0.8,23,0.97,-0.18,0.11
1783975673.444,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.444,static,unknown,7.3,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.444,static,unknown,1.2,8.46,0.0,0.55,5,8.23,1.48,1.27
1783975673.503,static,fabric,-0.2,0.98,0.0,0.8,22,0.96,-0.17,0.11
1783975673.503,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.503,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.503,static,unknown,1.2,8.46,0.0,0.55,5,8.23,1.5,1.29
1783975673.569,static,fabric,-0.2,0.98,0.0,0.8,22,0.96,-0.17,0.11
1783975673.569,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.569,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.569,static,unknown,1.2,8.46,0.0,0.55,5,8.22,1.51,1.29
1783975673.629,static,fabric,-0.2,0.98,0.0,0.8,22,0.96,-0.17,0.11
1783975673.629,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.629,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975673.629,static,unknown,1.2,8.46,0.0,0.55,5,8.22,1.52,1.29
1783975673.721,static,fabric,-0.2,0.98,0.0,0.8,22,0.96,-0.17,0.11
1783975673.721,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.721,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.75
1783975673.721,static,unknown,1.2,8.46,0.0,0.55,5,8.23,1.5,1.29
1783975673.737,static,fabric,-0.2,0.99,0.0,0.8,22,0.96,-0.18,0.11
1783975673.737,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.737,static,unknown,7.4,5.41,0.0,0.03,5,5.35,0.17,0.75
1783975673.737,static,unknown,1.2,8.46,0.0,0.55,5,8.23,1.5,1.29
1783975673.91,static,fabric,-0.2,1.0,0.0,0.8,22,0.98,-0.18,0.11
1783975673.91,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.91,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.75
1783975673.91,static,unknown,1.2,8.46,0.0,0.53,5,8.23,1.49,1.28
1783975673.972,static,fabric,-0.2,1.01,0.0,0.8,22,0.99,-0.18,0.11
1783975673.972,static,fabric,-0.8,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975673.972,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.75
1783975673.972,static,unknown,1.2,8.46,0.0,0.52,5,8.23,1.49,1.28
1783975674.056,static,fabric,-0.2,1.01,0.0,0.8,23,0.99,-0.18,0.11
1783975674.056,static,fabric,-0.9,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975674.056,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.75
1783975674.056,static,unknown,1.1,8.46,0.0,0.51,5,8.23,1.47,1.3
1783975674.061,static,fabric,-0.2,1.02,0.0,0.8,23,0.99,-0.18,0.11
1783975674.061,static,fabric,-0.9,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975674.061,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975674.061,static,unknown,1.1,8.46,0.0,0.51,5,8.23,1.45,1.3
1783975674.187,static,fabric,-0.2,1.02,0.0,0.8,23,1.0,-0.18,0.11
1783975674.187,static,fabric,-0.9,2.62,0.0,0.99,10,2.44,0.9,0.32
1783975674.187,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975674.187,static,unknown,1.1,8.46,0.0,0.51,5,8.24,1.44,1.31
1783975674.242,static,fabric,-0.1,1.01,0.0,0.8,23,0.99,-0.18,0.11
1783975674.242,static,fabric,-1.0,2.62,0.0,0.98,10,2.44,0.9,0.32
1783975674.242,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975674.242,static,unknown,1.1,8.46,0.0,0.5,5,8.23,1.44,1.31
1783975674.315,static,fabric,-0.1,1.01,0.0,0.8,23,0.98,-0.18,0.11
1783975674.315,static,fabric,-1.0,2.62,0.0,0.98,10,2.45,0.9,0.31
1783975674.315,static,unknown,7.4,5.41,0.0,0.03,5,5.36,0.17,0.74
1783975674.315,static,unknown,1.1,8.46,0.0,0.5,5,8.23,1.43,1.32
1783975674.372,static,fabric,-0.1,1.0,0.0,0.8,23,0.98,-0.18,0.11
1783975674.372,static,fabric,-1.0,2.63,0.0,0.98,10,2.45,0.9,0.31
