track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
1,,static,fabric,1.42,-10.5,5.8,0.29,0.4,0.11,11.3,-0.4,2.5,1.4,-0.0,0.0,0.01,0.0,4.82,0.61,42.89,584.0,0.0,0.0,0.0,0.001,0.999,0.0,0.0,0.0,0.0
2,,static,fabric,2.63,-20.7,6.6,0.21,0.82,0.4,9.4,-1.1,-0.3,1.1,0.0,0.0,0.0,0.0,1.57,0.03,46.44,611.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,,static,unknown,5.41,-1.8,7.8,0.0,0.0,0.03,5.0,6.2,6.6,0.3,0.0,0.0,0.0,0.0,0.26,0.01,46.44,628.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,,static,unknown,8.46,-10.2,9.4,0.07,0.21,0.35,5.0,1.5,1.9,0.4,0.0,0.0,0.0,0.0,1.04,0.05,46.44,628.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,,static,fabric,0.79,10.8,5.9,0.62,0.85,0.2,13.3,0.4,3.1,1.5,0.0,0.0,0.0,0.0,0.97,0.03,3.41,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
