seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
206038,1092385317,0,1002,3,14,-210,-1050,-70
206039,1092393276,0,1002,3,14,-210,-1050,-70
206040,1092395346,0,1002,3,14,-210,-1050,-70
206042,1092400484,0,1003,3,13,-280,-1050,-70
206043,1092407787,0,1003,3,13,-280,-1050,-70
206045,1092410336,0,1003,3,13,-280,-1050,-70
206046,1092415315,0,1003,3,13,-280,-1050,-70
206047,1092420312,0,1002,4,15,-210,-1050,-70
206048,1092425307,0,1002,4,15,-210,-1050,-70
206049,1092430308,0,1002,4,15,-210,-1050,-70
206050,1092435307,0,1002,4,15,-210,-1050,-70
206051,1092440306,0,1002,3,17,-210,-1050,-70
206052,1092445308,0,1002,3,17,-210,-1050,-70
206053,1092450309,0,1002,3,17,-210,-1050,-70
206054,1092455306,0,1002,4,14,-280,-1050,-70
206055,1092460305,0,1002,4,14,-280,-1050,-70
206056,1092465307,0,1002,4,14,-280,-1050,-70
206057,1092470311,0,1002,4,14,-280,-1050,-70
206058,1092475313,0,1001,3,15,-210,-1050,-70
206059,1092480310,0,1001,3,15,-210,-1050,-70
206060,1092485306,0,1001,3,15,-210,-1050,-70
206061,1092490308,0,1001,3,15,-210,-1050,-70
206062,1092495303,0,1001,3,15,-210,-1050,-70
206063,1092500304,0,1001,3,15,-210,-1050,-70
206064,1092507301,0,1001,3,15,-210,-1050,-70
206065,1092510359,0,1003,3,14,-280,-1050,-70
206067,1092515627,0,1003,3,14,-280,-1050,-70
206068,1092521263,0,1003,3,14,-280,-1050,-70
206071,1092525335,0,1003,3,14,-280,-1050,-70
206072,1092530318,0,1002,3,15,-210,-1050,-70
206073,1092535313,0,1002,3,15,-210,-1050,-70
206074,1092540307,0,1002,3,15,-210,-1050,-70
206075,1092545306,0,1002,3,15,-210,-1050,-70
206076,1092550310,0,1002,5,16,-210,-1050,-70
206077,1092555313,0,1002,5,16,-210,-1050,-70
206078,1092560310,0,1002,5,16,-210,-1050,-70
206079,1092565317,0,1002,3,14,-280,-1050,-140
206080,1092570305,0,1002,3,14,-280,-1050,-140
206081,1092575310,0,1002,3,14,-280,-1050,-140
206082,1092580305,0,1002,3,14,-280,-1050,-140
206083,1092585304,0,1002,3,14,-210,-1050,-70
206084,1092590311,0,1002,3,14,-210,-1050,-70
206085,1092595309,0,1002,3,14,-210,-1050,-70
206086,1092600306,0,1002,3,14,-210,-1050,-70
206087,1092605321,0,1002,4,15,-210,-1050,-70
206088,1092610309,0,1002,4,15,-210,-1050,-70
206089,1092615308,0,1002,4,15,-210,-1050,-70
206090,1092621269,0,1002,3,14,-210,-1120,-70
206092,1092625610,0,1002,3,14,-210,-1120,-70
206093,1092630482,0,1002,3,14,-210,-1120,-70
206094,1092635484,0,1002,3,14,-210,-1120,-70
206096,1092640340,0,1002,3,14,-210,-1050,-70
206097,1092645320,0,1002,3,14,-210,-1050,-70
206098,1092650315,0,1002,3,14,-210,-1050,-70
206099,1092655307,0,1002,3,14,-210,-1050,-70
206100,1092660320,0,1002,4,16,-210,-1050,-70
206101,1092665307,0,1002,4,16,-210,-1050,-70
206102,1092670306,0,1002,4,16,-210,-1050,-70
206103,1092675312,0,1002,4,16,-210,-1050,-70
206104,1092680306,0,1002,3,15,-280,-1050,-70
206105,1092685309,0,1002,3,15,-280,-1050,-70
206106,1092690310,0,1002,3,15,-280,-1050,-70
206107,1092695303,0,1003,4,14,-210,-1050,-70
206108,1092700305,0,1003,4,14,-210,-1050,-70
206109,1092705307,0,1003,4,14,-210,-1050,-70
206110,1092710305,0,1003,4,14,-210,-1050,-70
206111,1092715310,0,1003,4,15,-210,-1050,-70
206112,1092720309,0,1003,4,15,-210,-1050,-70
206113,1092725309,0,1003,4,15,-210,-1050,-70
206114,1092730317,0,1003,4,15,-210,-1050,-70
206115,1092735545,0,1003,4,14,-210,-1050,-70
206117,1092740489,0,1003,4,14,-210,-1050,-70
206118,1092745365,0,1003,4,14,-210,-1050,-70
206120,1092750595,0,1002,4,13,-210,-1050,-70
206121,1092755332,0,1002,4,13,-210,-1050,-70
206122,1092760319,0,1002,4,13,-210,-1050,-70
206123,1092765311,0,1002,4,13,-210,-1050,-70
206124,1092770311,0,1001,4,14,-210,-1050,-70
206125,1092775305,0,1001,4,14,-210,-1050,-70
206126,1092780303,0,1001,4,14,-210,-1050,-70
206127,1092785322,0,1001,4,14,-210,-1050,-70
206128,1092790307,0,1002,3,14,-210,-1050,-70
206129,1092795307,0,1002,3,14,-210,-1050,-70
206130,1092800310,0,1002,3,14,-210,-1050,-70
206131,1092805305,0,1002,3,14,-210,-1050,-70
206132,1092810307,0,1002,4,14,-210,-1050,-70
206133,1092815312,0,1002,4,14,-210,-1050,-70
206134,1092820308,0,1002,4,14,-210,-1050,-70
206135,1092825318,0,1002,3,15,-210,-1050,-70
206136,1092830306,0,1002,3,15,-210,-1050,-70
206137,1092835308,0,1002,3,15,-210,-1050,-70
206138,1092840315,0,1002,3,15,-210,-1050,-70
206139,1092845307,0,1003,4,15,-210,-1050,-70
206140,1092851235,0,1003,4,15,-210,-1050,-70
206142,1092855399,0,1003,4,15,-210,-1050,-70
206143,1092860437,0,1003,4,15,-210,-1050,-70
206145,1092865341,0,1002,4,13,-210,-1120,-70
206146,1092870319,0,1002,4,13,-210,-1120,-70
206147,1092875311,0,1002,4,13,-210,-1120,-70
206148,1092880309,0,1001,4,16,-210,-1050,-70
206149,1092885309,0,1001,4,16,-210,-1050,-70
206150,1092890308,0,1001,4,16,-210,-1050,-70
206151,1092895309,0,1001,4,16,-210,-1050,-70
206152,1092900308,0,1002,4,15,-210,-1050,-70
206153,1092905309,0,1002,4,15,-210,-1050,-70
206154,1092910309,0,1002,4,15,-210,-1050,-70
206155,1092915308,0,1002,4,15,-210,-1050,-70
206156,1092920307,0,1002,4,14,-280,-1050,-70
206157,1092925309,0,1002,4,14,-280,-1050,-70
206158,1092930305,0,1002,4,14,-280,-1050,-70
206159,1092935315,0,1002,4,15,-280,-1050,-70
206160,1092940307,0,1002,4,15,-280,-1050,-70
206161,1092945311,0,1002,4,15,-280,-1050,-70
206162,1092950306,0,1002,4,15,-280,-1050,-70
206163,1092955308,0,1001,4,14,-210,-1050,-70
206164,1092963111,0,1001,4,14,-210,-1050,-70
206165,1092967011,0,1001,4,14,-210,-1050,-70
206167,1092970382,0,1001,4,14,-210,-1050,-70
206168,1092977655,0,1003,4,13,-210,-1050,-70
206170,1092980334,0,1003,4,13,-210,-1050,-70
206171,1092985313,0,1003,4,13,-210,-1050,-70
206172,1092990312,0,1003,4,13,-210,-1050,-70
206173,1092995309,0,1002,3,15,-210,-1050,-70
206174,1093000303,0,1002,3,15,-210,-1050,-70
206175,1093005308,0,1002,3,15,-210,-1050,-70
206176,1093010304,0,1002,4,15,-280,-1050,-70
206177,1093015308,0,1002,4,15,-280,-1050,-70
206178,1093020311,0,1002,4,15,-280,-1050,-70
