t,frame,x,y,z,doppler,snr_db,noise_db
1784036670.067,1,1.323,0.908,-0.174,0.0,12.7,64.1
1784036670.067,1,1.711,-0.704,0.311,0.0,20.2,69.0
1784036670.067,1,3.496,-1.577,0.605,0.0,15.9,72.4
1784036670.067,1,7.331,-3.01,1.281,0.0,18.6,65.8
1784036670.179,2,1.359,0.858,-0.152,0.0,13.8,63.2
1784036670.179,2,1.712,-0.704,0.308,0.0,19.8,69.3
1784036670.179,2,3.407,-1.82,0.394,0.0,12.8,72.7
1784036670.179,2,7.33,-3.01,1.286,0.0,18.2,66.2
1784036670.239,3,1.358,0.858,-0.16,0.0,13.3,63.6
1784036670.239,3,1.711,-0.704,0.312,0.0,19.9,69.3
1784036670.239,3,3.344,-1.941,0.359,0.0,13.7,72.3
1784036670.239,3,7.33,-3.01,1.284,0.0,18.3,66.0
1784036670.366,4,1.328,0.908,-0.132,0.0,14.2,62.7
1784036670.366,4,1.711,-0.704,0.313,0.0,20.1,69.1
1784036670.366,4,3.381,-1.82,0.575,0.0,13.2,72.7
1784036670.366,4,7.326,-3.01,1.309,0.0,18.1,66.2
1784036670.427,5,1.362,0.858,-0.123,0.0,14.0,62.8
1784036670.427,5,1.711,-0.704,0.312,0.0,19.8,69.4
1784036670.427,5,3.438,-1.699,0.608,0.0,15.2,72.2
1784036670.427,5,7.327,-3.01,1.305,0.0,17.8,66.4
1784036670.537,6,1.33,0.908,-0.113,0.0,13.8,63.0
1784036670.537,6,1.711,-0.704,0.312,0.0,19.6,69.6
1784036670.537,6,3.491,-1.577,0.632,0.0,15.4,72.1
1784036670.537,6,7.324,-3.01,1.321,0.0,18.1,66.1
1784036670.651,7,1.33,0.908,-0.112,0.0,14.2,62.6
1784036670.651,7,1.711,-0.704,0.312,0.0,19.8,69.3
1784036670.651,7,3.393,-1.82,0.5,0.0,13.9,72.4
1784036670.651,7,7.328,-3.01,1.299,0.0,18.6,65.6
1784036670.766,8,1.363,0.858,-0.112,0.0,13.8,63.0
1784036670.766,8,1.711,-0.704,0.309,0.0,19.7,69.5
1784036670.766,8,3.397,-1.82,0.474,0.0,13.6,72.6
1784036670.766,8,7.326,-3.01,1.31,0.0,18.2,66.0
1784036670.877,9,1.332,0.908,-0.091,0.0,13.6,63.1
1784036670.877,9,1.711,-0.704,0.31,0.0,19.7,69.5
1784036670.877,9,3.394,-1.82,0.497,0.0,13.8,72.3
1784036670.877,9,7.324,-3.01,1.321,0.0,18.4,65.8
1784036670.987,10,0.53,0.153,0.263,0.0,11.3,65.2
1784036670.987,10,1.331,0.908,-0.104,0.0,13.8,62.9
1784036670.987,10,1.711,-0.704,0.311,0.0,19.8,69.3
1784036670.987,10,3.394,-1.82,0.494,0.0,14.2,72.5
1784036670.987,10,7.328,-3.01,1.298,0.0,18.3,65.9
1784036671.041,11,1.362,0.858,-0.121,0.0,13.5,63.4
1784036671.041,11,1.711,-0.704,0.31,0.0,19.9,69.3
1784036671.041,11,3.444,-1.699,0.573,0.0,14.4,72.6
1784036671.041,11,7.328,-3.01,1.299,0.0,18.2,65.9
1784036671.146,12,1.329,0.908,-0.119,0.0,13.8,63.0
1784036671.146,12,1.711,-0.704,0.313,0.0,20.0,69.2
1784036671.146,12,3.437,-1.699,0.615,0.0,14.9,72.3
1784036671.146,12,7.322,-3.01,1.332,0.0,18.2,65.9
1784036671.251,13,1.33,0.908,-0.116,0.0,13.6,63.2
1784036671.251,13,1.711,-0.704,0.313,0.0,19.9,69.3
1784036671.251,13,3.434,-1.699,0.632,0.0,15.1,72.0
1784036671.251,13,7.326,-3.01,1.306,0.0,17.7,66.4
1784036671.358,14,1.361,0.858,-0.13,0.0,14.1,62.8
1784036671.358,14,1.711,-0.704,0.312,0.0,19.7,69.5
1784036671.358,14,3.361,-1.82,0.686,0.0,14.1,72.4
1784036671.358,14,7.326,-3.01,1.306,0.0,17.8,66.3
1784036671.461,15,1.33,0.908,-0.113,0.0,14.3,62.5
1784036671.461,15,1.711,-0.704,0.313,0.0,19.9,69.3
1784036671.461,15,3.364,-1.82,0.667,0.0,13.5,72.5
1784036671.461,15,7.327,-3.01,1.301,0.0,18.1,66.0
1784036671.562,16,1.362,0.858,-0.122,0.0,13.7,63.1
1784036671.562,16,1.711,-0.704,0.314,0.0,19.7,69.5
1784036671.562,16,3.378,-1.82,0.597,0.0,13.2,72.6
1784036671.562,16,7.325,-3.01,1.311,0.0,18.2,66.0
1784036671.664,17,1.33,0.908,-0.11,0.0,13.7,63.1
1784036671.664,17,1.711,-0.704,0.313,0.0,19.8,69.4
1784036671.664,17,3.399,-1.82,0.462,0.0,13.4,72.6
1784036671.664,17,7.325,-3.01,1.316,0.0,18.2,66.0
1784036671.766,18,1.362,0.858,-0.122,0.0,14.0,62.8
1784036671.766,18,1.711,-0.704,0.313,0.0,19.6,69.5
1784036671.766,18,3.401,-1.82,0.442,0.0,13.4,72.7
1784036671.766,18,7.329,-3.01,1.29,0.0,17.9,66.3
1784036671.869,19,1.362,0.858,-0.12,0.0,13.7,63.0
1784036671.869,19,1.711,-0.704,0.311,0.0,19.7,69.5
1784036671.869,19,3.334,-1.941,0.435,0.0,13.3,72.6
1784036671.869,19,7.329,-3.01,1.289,0.0,18.0,66.2
1784036671.969,20,1.33,0.908,-0.115,0.0,13.1,63.7
1784036671.969,20,1.712,-0.704,0.309,0.0,19.8,69.4
1784036671.969,20,3.402,-1.82,0.439,0.0,13.3,72.5
1784036671.969,20,7.328,-3.01,1.299,0.0,18.0,66.1
1784036672.07,21,1.362,0.858,-0.128,0.0,14.0,62.9
1784036672.07,21,1.712,-0.704,0.308,0.0,19.7,69.4
1784036672.07,21,3.34,-1.941,0.387,0.0,13.4,72.2
1784036672.07,21,7.33,-3.01,1.288,0.0,18.2,66.0
1784036672.172,22,1.362,0.858,-0.124,0.0,13.0,63.9
1784036672.172,22,1.712,-0.704,0.307,0.0,19.8,69.3
1784036672.172,22,3.336,-1.941,0.423,0.0,12.8,72.6
1784036672.172,22,7.328,-3.01,1.295,0.0,17.9,66.2
1784036672.273,23,1.33,0.908,-0.115,0.0,13.9,62.9
1784036672.273,23,1.711,-0.704,0.31,0.0,20.2,69.0
1784036672.273,23,3.337,-1.941,0.414,0.0,13.0,72.6
1784036672.273,23,7.33,-3.01,1.284,0.0,18.3,65.9
1784036672.374,24,1.327,0.908,-0.14,0.0,13.5,63.4
1784036672.374,24,1.711,-0.704,0.311,0.0,19.9,69.3
1784036672.374,24,3.482,-1.577,0.681,0.0,14.2,72.7
