track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
31,,pedestrian,mid,2.62,-54.8,6.7,0.35,0.24,0.45,4.2,4.6,4.9,2.0,-0.49,0.49,0.15,0.39,0.68,0.21,0.53,5.0,0.0,0.0,0.571,0.429,0.0,0.0,0.0,0.0,0.0
19,,static,unknown,7.71,21.6,8.9,1.11,0.7,0.68,11.9,5.0,6.5,2.7,-0.01,0.01,0.06,0.04,0.73,0.32,12.25,91.0,0.0,0.0,0.006,0.011,0.979,0.004,0.0,0.0,0.0
30,,vehicle,mid,3.28,17.4,8.4,0.76,1.13,0.73,12.8,4.0,8.8,4.2,-0.08,0.22,0.31,0.67,1.94,0.91,3.12,24.0,0.0,0.0,0.12,0.218,0.468,0.172,0.023,0.0,0.0
32,,static,unknown,8.55,-0.0,8.6,0.02,0.14,0.12,3.2,1.1,1.8,0.9,0.0,0.0,0.0,0.0,0.49,0.25,1.75,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,,vehicle,mid,1.71,4.7,4.3,1.79,1.74,1.24,23.6,-0.3,9.0,6.5,-0.01,0.17,0.27,0.62,0.92,0.64,22.03,157.0,0.0,0.0,0.066,0.165,0.552,0.19,0.028,0.0,0.0
34,,pedestrian,fabric,3.89,28.6,9.5,0.67,0.48,0.42,6.5,0.8,1.8,1.3,-0.03,0.06,0.14,0.2,0.26,1.41,7.15,44.0,0.0,0.0,0.018,0.123,0.803,0.056,0.0,0.0,0.0
36,,static,unknown,5.81,22.2,9.5,0.14,0.69,0.31,2.2,-0.7,0.9,1.0,-0.12,0.12,0.14,0.18,1.27,0.94,1.64,4.0,0.0,0.0,0.0,0.444,0.556,0.0,0.0,0.0,0.0
40,,static,fabric,2.18,-25.3,-4.4,0.02,0.05,0.12,3.7,-1.9,-0.7,0.6,0.0,0.0,0.0,0.0,0.07,0.03,0.88,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,,pedestrian,unknown,8.06,24.4,-2.6,0.82,0.68,0.62,8.3,2.4,6.3,3.3,-0.03,0.05,0.16,0.18,3.67,4.08,12.8,80.0,0.0,0.0,0.039,0.051,0.884,0.014,0.012,0.0,0.0
38,,unknown,unknown,5.61,24.0,11.7,0.59,0.26,0.41,4.7,2.2,3.1,2.0,-0.01,0.01,0.04,0.03,1.72,1.69,2.26,7.0,0.0,0.0,0.0,0.03,0.97,0.0,0.0,0.0,0.0
41,,static,unknown,8.05,27.7,4.2,0.48,0.68,0.54,5.1,0.7,2.9,1.4,0.0,0.0,0.0,0.0,0.43,0.28,1.66,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,,static,metal,0.82,17.0,4.7,0.35,0.36,0.32,7.4,14.6,30.1,9.3,0.07,0.22,0.27,0.54,0.5,0.23,3.15,19.0,0.0,0.0,0.014,0.271,0.286,0.357,0.071,0.0,0.0
44,,static,unknown,7.37,1.8,13.9,0.06,0.0,0.21,4.0,2.4,2.6,1.3,0.0,0.0,0.0,0.0,0.66,0.25,1.35,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,,static,unknown,8.55,-0.0,8.3,0.03,0.06,0.19,4.5,5.7,6.4,1.0,0.0,0.0,0.0,0.0,0.2,0.14,1.59,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,,unknown,mid,1.67,4.3,5.5,0.93,1.73,1.07,13.3,0.6,9.2,4.2,0.02,0.04,0.1,0.19,0.42,2.99,12.56,80.0,0.0,0.0,0.004,0.011,0.897,0.082,0.006,0.0,0.0
49,,pedestrian,unknown,4.77,-51.8,9.3,0.84,0.24,0.5,4.1,4.6,8.2,2.7,0.32,0.32,0.09,0.17,0.93,0.32,1.37,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,,static,unknown,8.21,1.9,7.5,0.58,0.83,0.71,4.2,-1.7,5.0,2.4,0.0,0.0,0.0,0.0,1.64,0.47,0.51,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,,pedestrian,metal,0.55,-13.3,1.3,0.19,0.47,0.25,6.6,16.1,24.0,9.3,-0.27,0.32,0.24,0.49,0.18,0.06,0.55,5.0,0.0,0.0,0.091,0.788,0.061,0.03,0.03,0.0,0.0
56,,static,unknown,6.37,-45.3,14.3,0.06,0.12,0.55,2.0,-1.6,1.7,1.0,0.03,0.19,0.22,0.13,1.15,0.45,0.75,5.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0
22,,vehicle,metal,3.03,22.3,6.4,1.04,1.02,0.84,15.9,2.6,17.8,8.0,-0.0,0.17,0.27,0.46,1.74,1.04,38.7,253.0,0.0,0.0,0.06,0.152,0.561,0.188,0.04,0.0,0.0
57,,static,unknown,8.55,0.4,6.4,0.03,0.21,0.19,3.0,-0.3,0.8,0.6,0.0,0.0,0.0,0.0,0.48,0.15,0.53,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,,pedestrian,unknown,6.36,26.9,-0.1,0.31,0.6,1.25,2.5,1.9,2.6,1.5,0.29,0.29,0.04,0.08,0.92,0.23,0.38,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,,static,mid,2.48,-38.8,2.6,0.15,0.16,0.47,2.8,-0.4,4.6,2.3,-0.01,0.2,0.22,0.14,0.13,0.39,2.11,15.0,0.0,0.0,0.0,0.405,0.119,0.476,0.0,0.0,0.0
59,,pedestrian,unknown,6.45,-38.6,4.6,0.31,0.42,0.38,2.5,-1.3,3.2,2.2,0.28,0.28,0.07,0.12,0.55,0.15,0.39,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,,pedestrian,metal,3.36,12.2,9.5,0.63,0.47,0.47,7.9,4.5,11.5,5.0,-0.01,0.11,0.21,0.18,3.04,2.31,17.53,129.0,0.0,0.0,0.026,0.131,0.699,0.128,0.015,0.0,0.0
46,,static,unknown,7.86,28.7,13.5,0.94,0.67,0.54,9.1,1.8,5.5,3.0,0.0,0.0,0.04,0.03,3.46,1.04,19.36,149.0,0.0,0.0,0.0,0.006,0.981,0.013,0.001,0.0,0.0
