t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1784036672.937,static,fabric,-0.1,1.62,0.0,0.08,6,1.35,0.89,-0.11
1784036672.937,static,mid,5.6,1.87,0.0,0.0,6,1.71,-0.7,0.31
1784036672.937,static,fabric,-1.0,3.88,0.0,0.36,6,3.43,-1.74,0.51
1784036672.937,static,unknown,5.2,8.03,0.0,0.04,6,7.33,-3.01,1.28
1784036673.089,static,fabric,-0.3,1.61,0.0,0.07,5,1.34,0.89,-0.11
1784036673.089,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.089,static,fabric,-1.0,3.88,0.0,0.35,5,3.43,-1.74,0.52
1784036673.089,static,unknown,5.2,8.03,0.0,0.04,5,7.33,-3.01,1.28
1784036673.095,static,fabric,-0.3,1.61,0.0,0.07,5,1.34,0.89,-0.11
1784036673.095,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.095,static,fabric,-1.0,3.88,0.0,0.34,5,3.42,-1.75,0.52
1784036673.095,static,unknown,5.3,8.03,0.0,0.04,5,7.33,-3.01,1.28
1784036673.248,static,fabric,-0.3,1.61,0.0,0.07,5,1.35,0.89,-0.11
1784036673.248,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.248,static,fabric,-1.0,3.88,0.0,0.34,5,3.41,-1.77,0.54
1784036673.248,static,unknown,5.3,8.03,0.0,0.04,5,7.33,-3.01,1.28
1784036673.252,static,fabric,-0.3,1.61,0.0,0.07,6,1.35,0.88,-0.11
1784036673.252,static,mid,5.6,1.87,0.0,0.0,6,1.71,-0.7,0.31
1784036673.252,static,fabric,-1.0,3.88,0.0,0.34,6,3.4,-1.79,0.55
1784036673.252,static,unknown,5.3,8.03,0.0,0.04,6,7.33,-3.01,1.28
1784036673.397,static,fabric,-0.3,1.61,0.0,0.07,5,1.34,0.89,-0.11
1784036673.397,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.397,static,fabric,-1.0,3.88,0.0,0.34,5,3.4,-1.79,0.56
1784036673.397,static,unknown,5.3,8.03,0.0,0.04,5,7.33,-3.01,1.28
1784036673.401,static,fabric,-0.3,1.61,0.0,0.07,5,1.34,0.89,-0.12
1784036673.401,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.401,static,fabric,-1.0,3.88,0.0,0.34,5,3.39,-1.8,0.57
1784036673.401,static,unknown,5.3,8.03,0.0,0.04,5,7.33,-3.01,1.29
1784036673.543,static,fabric,-0.3,1.61,0.0,0.07,5,1.34,0.89,-0.12
1784036673.543,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.543,static,fabric,-0.9,3.88,0.0,0.34,5,3.39,-1.8,0.58
1784036673.543,static,unknown,5.2,8.03,0.0,0.04,5,7.33,-3.01,1.29
1784036673.559,static,fabric,-0.3,1.61,0.0,0.07,5,1.34,0.89,-0.12
1784036673.559,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.559,static,fabric,-0.9,3.88,0.0,0.34,5,3.4,-1.79,0.59
1784036673.559,static,unknown,5.2,8.03,0.0,0.05,5,7.33,-3.01,1.28
1784036673.697,static,fabric,-0.3,1.61,0.0,0.08,5,1.34,0.89,-0.13
1784036673.697,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.697,static,fabric,-0.9,3.88,0.0,0.33,5,3.4,-1.78,0.6
1784036673.697,static,unknown,5.2,8.03,0.0,0.05,5,7.34,-2.99,1.28
1784036673.722,static,fabric,-0.3,1.61,0.0,0.08,5,1.34,0.89,-0.14
1784036673.722,static,mid,5.5,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.722,static,fabric,-0.9,3.88,0.0,0.32,5,3.4,-1.77,0.61
1784036673.722,static,unknown,5.2,8.03,0.0,0.06,5,7.34,-2.98,1.28
1784036673.843,static,fabric,-0.1,1.61,0.0,0.07,5,1.34,0.89,-0.15
1784036673.843,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.843,static,fabric,-0.7,3.88,0.0,0.31,5,3.41,-1.76,0.61
1784036673.843,static,unknown,5.2,8.03,0.0,0.07,5,7.35,-2.97,1.28
1784036673.865,static,fabric,0.1,1.61,0.0,0.07,5,1.34,0.88,-0.15
1784036673.865,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036673.865,static,fabric,-0.7,3.88,0.0,0.29,5,3.41,-1.76,0.61
1784036673.865,static,unknown,5.2,8.03,0.0,0.08,5,7.35,-2.96,1.28
1784036674.011,static,fabric,0.1,1.61,0.0,0.07,5,1.34,0.89,-0.15
1784036674.011,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
1784036674.011,static,fabric,-0.7,3.88,0.0,0.29,5,3.4,-1.77,0.61
1784036674.011,static,unknown,5.2,8.03,0.0,0.09,5,7.35,-2.96,1.28
1784036674.016,static,fabric,0.1,1.61,0.0,0.08,5,1.34,0.89,-0.15
1784036674.016,static,mid,5.6,1.87,0.0,0.0,5,1.71,-0.7,0.31
