t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1784028937.537,static,metal,6.6,1.37,0.0,1.25,12,1.36,-0.09,0.08
1784028937.537,static,fabric,2.2,3.35,0.0,0.12,5,3.19,-1.01,-0.0
1784028937.537,static,unknown,4.5,4.79,0.0,0.54,5,3.1,3.65,-0.15
1784028937.537,static,unknown,1.4,5.46,0.0,0.26,5,4.37,3.24,0.41
1784028937.537,static,unknown,1.8,8.64,0.0,0.12,5,8.34,2.16,0.59
1784028937.642,static,metal,6.5,1.37,0.0,1.29,13,1.36,-0.1,0.09
1784028937.642,static,fabric,2.1,3.35,0.0,0.1,5,3.19,-1.03,-0.0
1784028937.642,static,unknown,4.5,4.79,0.0,0.49,5,3.1,3.66,-0.18
1784028937.642,static,unknown,1.4,5.45,0.0,0.27,5,4.37,3.24,0.43
1784028937.642,static,unknown,2.0,8.64,0.0,0.12,5,8.34,2.16,0.58
1784028937.705,static,metal,6.2,1.37,0.0,1.32,13,1.37,-0.1,0.08
1784028937.705,static,fabric,2.1,3.35,0.0,0.09,5,3.19,-1.04,-0.0
1784028937.705,static,unknown,4.5,4.79,0.0,0.51,5,3.09,3.66,-0.17
1784028937.705,static,unknown,1.4,5.45,0.0,0.25,5,4.36,3.24,0.46
1784028937.705,static,unknown,1.8,8.64,0.0,0.12,5,8.35,2.16,0.57
1784028937.76,static,metal,6.2,1.37,0.0,1.34,13,1.37,-0.1,0.08
1784028937.76,static,fabric,1.9,3.36,0.0,0.07,5,3.19,-1.04,-0.0
1784028937.76,static,unknown,4.5,4.79,0.0,0.52,5,3.09,3.66,-0.17
1784028937.76,static,unknown,2.3,5.45,0.0,0.24,5,4.36,3.24,0.47
1784028937.76,static,unknown,1.8,8.64,0.0,0.13,5,8.35,2.16,0.56
1784028937.783,static,metal,6.2,1.37,0.0,1.35,13,1.37,-0.1,0.07
1784028937.783,static,fabric,1.9,3.36,0.0,0.07,5,3.19,-1.04,-0.0
1784028937.783,static,unknown,4.5,4.79,0.0,0.53,5,3.09,3.66,-0.16
1784028937.783,static,unknown,2.3,5.45,0.0,0.23,5,4.36,3.24,0.48
1784028937.783,static,unknown,1.8,8.64,0.0,0.13,5,8.35,2.16,0.56
1784028937.906,static,metal,5.7,1.36,0.0,1.28,13,1.35,-0.1,0.08
1784028937.906,static,fabric,1.9,3.36,0.0,0.06,5,3.19,-1.05,-0.0
1784028937.906,static,unknown,4.5,4.79,0.0,0.52,5,3.09,3.66,-0.11
1784028937.906,static,unknown,2.3,5.45,0.0,0.23,5,4.36,3.24,0.48
1784028937.906,static,unknown,1.8,8.64,0.0,0.12,5,8.35,2.16,0.54
1784028937.979,static,metal,5.7,1.35,0.0,1.22,13,1.34,-0.09,0.09
1784028937.979,static,fabric,1.9,3.36,0.0,0.06,5,3.19,-1.05,-0.01
1784028937.979,static,unknown,4.5,4.79,0.0,0.51,5,3.1,3.66,-0.07
1784028937.979,static,unknown,2.3,5.45,0.0,0.22,5,4.36,3.24,0.48
1784028937.979,static,unknown,1.8,8.64,0.0,0.11,5,8.35,2.16,0.54
1784028938.033,static,metal,5.7,1.34,0.0,1.17,13,1.34,-0.09,0.1
1784028938.033,static,fabric,1.9,3.36,0.0,0.05,5,3.19,-1.05,-0.01
1784028938.033,static,unknown,4.4,4.79,0.0,0.53,5,3.11,3.65,-0.06
1784028938.033,static,unknown,2.3,5.45,0.0,0.22,5,4.36,3.24,0.48
1784028938.033,static,unknown,1.8,8.64,0.0,0.12,5,8.35,2.16,0.54
1784028938.055,static,metal,5.7,1.34,0.0,1.13,12,1.33,-0.09,0.1
1784028938.055,static,fabric,1.9,3.36,0.0,0.05,5,3.19,-1.05,-0.01
1784028938.055,static,unknown,4.4,4.79,0.0,0.54,5,3.12,3.64,-0.06
1784028938.055,static,unknown,2.3,5.45,0.0,0.21,5,4.36,3.24,0.47
1784028938.055,static,unknown,1.8,8.64,0.0,0.12,5,8.35,2.16,0.54
1784028938.171,static,metal,5.7,1.34,0.0,1.08,12,1.33,-0.1,0.11
1784028938.171,static,fabric,1.9,3.35,0.0,0.06,5,3.19,-1.04,-0.01
1784028938.171,static,unknown,4.4,4.79,0.0,0.55,5,3.12,3.64,-0.06
1784028938.171,static,unknown,2.3,5.45,0.0,0.21,5,4.36,3.24,0.45
1784028938.171,static,unknown,1.8,8.64,0.0,0.12,5,8.35,2.16,0.54
1784028938.183,static,metal,5.7,1.34,0.0,1.04,12,1.33,-0.1,0.12
1784028938.183,static,fabric,1.9,3.35,0.0,0.06,5,3.19,-1.03,-0.02
1784028938.183,static,unknown,4.4,4.79,0.0,0.56,5,3.12,3.64,-0.06
1784028938.183,static,unknown,2.3,5.45,0.0,0.22,5,4.37,3.24,0.44
1784028938.183,static,unknown,1.8,8.64,0.0,0.12,5,8.35,2.16,0.55
1784028938.294,static,metal,5.7,1.34,0.0,1.01,12,1.33,-0.11,0.13
1784028938.294,static,fabric,1.9,3.35,0.0,0.06,5,3.19,-1.02,-0.02
1784028938.294,static,unknown,4.4,4.89,0.0,0.62,5,3.34,3.57,0.02
1784028938.294,static,unknown,2.3,5.45,0.0,0.22,5,4.37,3.24,0.44
1784028938.294,static,unknown,2.0,8.64,0.0,0.13,5,8.35,2.16,0.56
1784028938.329,static,metal,6.0,1.34,0.0,0.98,12,1.33,-0.11,0.14
1784028938.329,static,fabric,1.9,3.34,0.0,0.07,5,3.19,-1.0,-0.02
1784028938.329,static,unknown,4.4,4.96,0.0,0.68,6,3.47,3.54,0.06
1784028938.329,static,unknown,2.3,5.45,0.0,0.22,5,4.37,3.24,0.44
1784028938.329,static,unknown,2.0,8.64,0.0,0.13,5,8.34,2.16,0.58
1784028938.458,static,metal,6.0,1.36,-0.0,0.98,12,1.35,-0.13,0.14
1784028938.458,static,fabric,1.9,3.33,0.0,0.07,5,3.18,-0.98,-0.02
1784028938.458,static,unknown,4.4,5.0,0.0,0.73,6,3.56,3.51,0.08
1784028938.458,static,unknown,2.3,5.45,0.0,0.22,5,4.37,3.24,0.44
1784028938.458,static,unknown,2.0,8.64,0.0,0.13,5,8.34,2.16,0.61
1784028938.463,static,metal,6.2,1.37,-0.0,0.98,12,1.36,-0.15,0.14
1784028938.463,static,fabric,1.9,3.33,0.0,0.07,5,3.18,-0.98,-0.02
1784028938.463,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
1784028938.463,static,unknown,2.3,5.45,0.0,0.22,5,4.37,3.24,0.44
1784028938.463,static,unknown,2.0,8.64,0.0,0.14,5,8.34,2.16,0.62
1784028938.573,static,metal,6.2,1.38,-0.0,0.98,12,1.37,-0.15,0.14
1784028938.573,static,fabric,2.0,3.33,0.0,0.08,5,3.19,-0.98,-0.02
1784028938.573,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
1784028938.573,static,unknown,2.3,5.32,0.0,0.27,5,4.14,3.32,0.33
1784028938.573,static,unknown,2.0,8.64,0.0,0.14,5,8.34,2.16,0.63
1784028938.583,static,metal,6.2,1.39,-0.0,0.98,12,1.37,-0.16,0.15
1784028938.583,static,fabric,2.0,3.33,0.0,0.08,5,3.19,-0.98,-0.01
1784028938.583,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
1784028938.583,static,unknown,2.3,5.24,0.0,0.33,6,4.0,3.37,0.26
1784028938.583,static,unknown,2.0,8.64,0.0,0.14,5,8.34,2.16,0.63
1784028938.684,static,metal,6.6,1.4,-0.01,0.99,12,1.38,-0.16,0.14
1784028938.684,static,fabric,2.0,3.33,0.0,0.09,5,3.19,-0.96,-0.01
1784028938.684,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
1784028938.684,static,unknown,2.3,5.18,0.0,0.4,6,3.9,3.4,0.23
1784028938.684,static,unknown,2.0,8.64,0.0,0.15,5,8.34,2.16,0.65
1784028938.71,static,metal,7.1,1.41,-0.01,1.01,12,1.4,-0.16,0.13
1784028938.71,static,mid,2.0,3.33,0.0,0.09,5,3.19,-0.96,-0.0
1784028938.71,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
1784028938.71,static,unknown,2.3,5.03,0.0,0.39,6,3.62,3.49,0.13
1784028938.71,static,unknown,2.0,8.64,0.0,0.16,5,8.34,2.16,0.66
1784028938.925,static,metal,7.1,1.42,-0.01,1.02,12,1.41,-0.16,0.11
1784028938.925,static,mid,2.0,3.33,0.0,0.1,5,3.2,-0.93,0.01
1784028938.925,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
1784028938.925,static,unknown,2.3,5.03,0.0,0.39,6,3.62,3.49,0.13
1784028938.925,static,unknown,2.0,8.64,0.0,0.17,5,8.34,2.16,0.67
1784028938.983,static,metal,7.4,1.43,-0.02,1.03,13,1.42,-0.15,0.1
1784028938.983,static,mid,2.0,3.33,0.0,0.1,5,3.2,-0.91,0.02
1784028938.983,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
1784028938.983,static,unknown,2.3,5.03,0.0,0.39,6,3.62,3.49,0.13
1784028938.983,static,unknown,2.0,8.64,0.0,0.18,5,8.33,2.16,0.67
1784028938.983,static,unknown,-2.1,6.37,0.0,0.5,2,6.18,-1.51,0.25
1784028939.028,static,metal,7.5,1.44,-0.02,1.05,13,1.43,-0.14,0.08
1784028939.028,static,mid,2.0,3.32,0.0,0.1,5,3.21,-0.88,0.02
1784028939.028,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
1784028939.028,static,unknown,2.3,5.03,0.0,0.39,6,3.62,3.49,0.13
1784028939.028,static,unknown,2.0,8.64,0.0,0.19,5,8.33,2.16,0.7
1784028939.028,static,unknown,0.2,7.77,0.0,0.44,2,7.48,-2.01,0.67
1784028939.028,static,unknown,-2.1,6.33,-0.02,0.55,3,6.14,-1.49,0.25
1784028939.081,static,metal,8.2,1.44,-0.03,1.06,13,1.43,-0.13,0.08
1784028939.081,static,mid,2.1,3.32,0.0,0.1,5,3.21,-0.86,0.02
1784028939.081,static,unknown,4.4,5.03,0.0,0.78,6,3.62,3.5,0.09
