track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
3,,static,unknown,5.03,-44.0,1.1,0.45,0.23,0.6,6.1,4.4,4.9,0.9,0.0,0.0,0.0,0.0,9.89,0.55,1.07,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,,static,unknown,5.03,-44.0,1.5,0.26,0.09,0.28,5.9,2.3,5.1,1.3,0.0,0.0,0.0,0.0,13.85,0.82,1.31,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,,static,unknown,8.64,-14.5,4.7,0.02,0.0,0.2,4.6,2.0,2.5,0.6,0.0,0.0,0.0,0.0,1.01,0.1,1.68,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,,static,unknown,6.13,12.9,2.1,0.38,0.25,0.49,3.1,-2.1,0.7,1.2,-0.07,0.07,0.13,0.22,1.29,0.25,0.8,12.0,0.0,0.0,0.0,0.216,0.784,0.0,0.0,0.0,0.0
9,,static,unknown,4.8,-48.5,-1.2,0.71,0.21,0.41,8.2,4.1,5.1,0.8,0.0,0.0,0.0,0.0,1.43,0.01,1.73,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,,static,unknown,8.64,-14.1,4.5,0.06,0.25,0.07,3.6,2.3,3.2,1.1,0.0,0.0,0.0,0.0,1.82,0.04,0.63,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,,static,unknown,5.24,-39.9,2.2,0.18,0.05,0.31,5.6,3.0,3.7,0.4,0.0,0.0,0.0,0.0,15.73,0.4,0.85,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,,unknown,unknown,4.96,-45.0,0.4,0.38,0.15,0.25,6.5,4.2,4.9,0.9,0.0,0.0,0.0,0.0,23.17,0.96,3.55,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,,static,fabric,2.06,57.0,-0.8,0.09,0.02,0.26,3.5,-1.9,-0.1,1.0,0.0,0.0,0.0,0.0,22.36,0.27,3.18,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,,static,unknown,4.92,-46.0,0.0,0.96,0.29,0.55,9.0,3.9,4.8,0.9,0.0,0.0,0.0,0.0,10.84,0.35,0.56,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,,static,fabric,1.97,55.7,-9.1,0.05,0.16,0.23,2.2,-1.9,0.5,1.1,0.0,0.0,0.0,0.0,11.72,0.56,0.69,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,,static,unknown,5.24,-39.9,2.8,0.61,0.18,0.36,7.5,2.9,4.4,1.1,0.0,0.0,0.0,0.0,16.3,0.4,0.14,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,,static,fabric,1.98,53.3,-0.8,0.07,0.57,0.37,4.0,-2.0,-0.1,0.9,0.0,0.0,0.0,0.0,8.07,0.5,0.66,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,,static,fabric,1.99,52.9,5.2,0.13,0.45,0.79,2.4,-1.2,0.2,0.8,0.0,0.0,0.0,0.0,6.68,0.36,0.53,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
