t,frame,x,y,z,doppler,snr_db,noise_db
1784028933.612,1,1.122,-1.16,-0.012,0.0,12.6,61.1
1784028933.612,1,2.035,-0.131,-0.475,0.0,12.4,69.3
1784028933.612,1,3.181,-0.933,-0.068,0.0,20.5,70.0
1784028933.612,1,3.174,3.599,-0.066,0.0,18.4,64.2
1784028933.612,1,7.521,-1.952,0.782,0.0,15.1,58.0
1784028933.612,1,0.715,0.319,0.061,0.162,43.0,51.0
1784028933.612,1,0.838,0.376,0.404,0.162,14.6,58.0
1784028933.612,1,0.895,0.614,0.107,0.325,17.7,60.4
1784028933.725,2,1.194,-1.059,-0.242,0.0,12.1,61.5
1784028933.725,2,2.04,-0.131,-0.457,0.0,13.2,68.4
1784028933.725,2,3.209,-0.829,0.105,0.0,20.9,69.7
1784028933.725,2,3.174,3.599,-0.041,0.0,17.8,65.0
1784028933.725,2,4.372,3.238,0.381,0.0,16.8,61.1
1784028933.725,2,7.522,-1.952,0.775,0.0,15.9,57.3
1784028933.725,2,0.736,0.27,0.042,0.162,41.9,51.4
1784028933.725,2,0.932,0.638,0.106,0.243,14.5,60.7
1784028933.788,3,1.2,-1.059,-0.208,0.0,12.8,61.4
1784028933.788,3,1.369,1.01,-0.027,0.0,12.0,61.4
1784028933.788,3,2.042,-0.131,-0.447,0.0,13.4,68.6
1784028933.788,3,3.21,-0.829,-0.005,0.0,20.6,69.9
1784028933.788,3,3.173,3.599,-0.103,0.0,16.9,65.6
1784028933.788,3,4.251,3.408,0.227,0.0,14.5,61.0
1784028933.788,3,7.514,-1.941,0.282,0.0,16.2,57.8
1784028933.788,3,0.743,0.245,-0.061,0.162,40.0,51.3
1784028933.788,3,0.788,0.458,-0.096,0.406,33.3,47.7
1784028933.915,4,1.169,-1.11,-0.089,0.0,12.4,61.7
1784028933.915,4,0.983,1.11,-0.639,0.0,12.4,61.7
1784028933.915,4,1.328,1.063,0.018,0.0,12.0,61.8
1784028933.915,4,2.058,-0.065,-0.383,0.0,13.2,68.2
1784028933.915,4,3.235,-0.725,-0.042,0.0,20.6,70.0
1784028933.915,4,3.174,3.599,-0.054,0.0,16.6,66.1
1784028933.915,4,4.235,3.408,0.433,0.0,15.6,61.2
1784028933.915,4,7.536,-1.952,0.62,0.0,16.1,57.4
1784028933.915,4,0.773,0.123,-0.061,0.081,21.2,64.5
1784028933.915,4,0.728,0.139,-0.029,0.162,34.1,51.8
1784028933.915,4,0.838,0.218,0.111,0.325,40.9,49.0
1784028933.978,5,0.39,0.458,0.106,0.0,12.7,65.0
1784028933.978,5,3.181,-0.933,0.091,0.0,20.5,69.7
1784028933.978,5,3.174,3.599,-0.067,0.0,15.2,67.5
1784028933.978,5,4.374,3.238,0.354,0.0,16.5,60.8
1784028933.978,5,7.59,-1.708,0.682,0.0,16.1,57.3
1784028933.978,5,1.034,0.552,0.115,0.243,25.8,51.8
1784028933.978,5,0.834,0.245,0.073,0.487,49.0,46.3
1784028934.104,6,2.036,-0.131,-0.473,0.0,13.1,68.9
1784028934.104,6,3.179,-0.933,-0.14,0.0,20.6,69.7
1784028934.104,6,3.173,3.599,-0.077,0.0,17.5,65.1
1784028934.104,6,4.245,3.408,0.323,0.0,16.7,60.6
1784028934.104,6,7.509,-1.952,0.887,0.0,14.0,57.0
1784028934.104,6,1.037,0.552,0.085,0.243,33.4,53.6
1784028934.104,6,0.969,0.393,-0.054,0.325,30.6,51.0
1784028934.104,6,4.017,2.188,0.932,0.406,19.4,51.5
1784028934.104,6,0.819,0.13,0.007,0.568,38.8,45.0
1784028934.104,6,0.787,0.48,0.267,-0.649,39.2,46.9
1784028934.206,7,0.324,0.515,0.051,0.0,14.3,64.8
1784028934.206,7,1.399,0.957,-0.145,0.0,11.8,61.7
1784028934.206,7,1.391,-0.904,-0.378,0.0,11.8,61.7
1784028934.206,7,1.951,-0.128,-0.617,0.0,14.0,68.8
1784028934.206,7,3.176,-0.933,0.197,0.0,20.4,69.8
1784028934.206,7,3.172,3.599,-0.13,0.0,16.4,66.3
1784028934.206,7,4.354,3.238,0.548,0.0,16.6,60.8
1784028934.206,7,7.54,-1.952,0.569,0.0,14.7,57.8
1784028934.206,7,1.09,0.534,0.132,0.325,35.5,53.1
1784028934.206,7,0.953,0.282,0.14,0.406,41.0,47.3
1784028934.206,7,0.862,0.109,0.077,0.568,32.6,46.5
1784028934.206,7,0.809,0.372,-0.215,-0.406,33.1,46.3
1784028934.307,8,0.39,0.458,0.106,0.0,12.7,64.9
1784028934.307,8,2.034,-0.131,-0.482,0.0,12.8,69.0
1784028934.307,8,3.209,-0.829,-0.091,0.0,21.3,69.4
1784028934.307,8,3.172,3.599,-0.116,0.0,17.4,65.2
1784028934.307,8,4.357,3.238,0.525,0.0,16.4,60.5
1784028934.307,8,7.512,-1.952,0.869,0.0,15.0,57.4
1784028934.307,8,1.009,0.262,0.096,0.325,41.0,48.4
1784028934.307,8,1.121,0.554,0.194,0.325,35.4,55.3
1784028934.408,9,2.04,-0.131,-0.454,0.0,14.5,67.5
1784028934.408,9,3.21,-0.829,-0.038,0.0,21.0,69.6
1784028934.408,9,3.172,3.599,-0.128,0.0,16.2,66.4
1784028934.408,9,4.364,3.238,0.46,0.0,16.4,60.6
1784028934.408,9,7.452,-2.196,0.795,0.0,14.5,57.8
1784028934.408,9,1.027,0.196,0.061,0.243,40.5,47.9
1784028934.408,9,1.088,0.514,0.392,0.243,28.9,57.2
1784028934.408,9,0.998,-0.0,0.1,0.487,30.8,46.8
1784028934.522,10,0.324,0.515,0.048,0.0,12.4,66.8
1784028934.522,10,2.026,-0.131,-0.515,0.0,15.2,66.7
1784028934.522,10,3.179,-0.933,-0.135,0.0,21.3,69.7
1784028934.522,10,3.171,3.599,-0.14,0.0,16.2,66.4
1784028934.522,10,4.358,3.238,0.511,0.0,16.6,60.3
1784028934.522,10,7.529,-1.952,0.698,0.0,13.7,58.2
1784028934.522,10,1.054,0.239,0.144,0.162,38.3,52.7
1784028934.522,10,1.198,0.491,0.194,0.162,32.8,56.4
1784028934.522,10,1.047,-0.0,0.01,0.406,33.6,47.7
1784028934.623,11,2.03,-0.131,-0.497,0.0,15.1,66.2
1784028934.623,11,3.21,-0.829,-0.02,0.0,20.9,69.5
1784028934.623,11,3.172,3.599,-0.127,0.0,17.0,65.6
1784028934.623,11,4.352,3.238,0.561,0.0,16.1,60.9
1784028934.623,11,7.524,-1.952,0.748,0.0,15.5,57.4
1784028934.623,11,1.052,0.239,0.164,0.081,19.4,68.9
1784028934.623,11,1.194,0.491,0.216,0.081,15.0,68.3
1784028934.623,11,1.159,0.037,0.208,0.162,32.8,51.2
1784028934.623,11,1.038,0.136,0.305,0.243,36.5,47.1
1784028934.623,11,1.047,0.033,0.006,0.406,30.8,46.7
1784028934.673,12,2.051,-0.065,-0.42,0.0,16.1,66.4
1784028934.673,12,3.182,-0.933,0.023,0.0,21.1,69.4
1784028934.673,12,3.173,3.599,-0.088,0.0,17.4,65.3
1784028934.673,12,4.228,3.408,0.497,0.0,16.1,60.6
1784028934.673,12,7.527,-1.952,0.718,0.0,15.5,57.7
1784028934.673,12,1.052,0.239,0.162,0.081,19.2,68.8
1784028934.673,12,1.207,0.491,0.124,-0.081,25.3,62.4
1784028934.774,13,0.349,0.496,0.07,0.0,12.4,66.6
1784028934.774,13,2.02,-0.065,-0.547,0.0,14.3,66.3
1784028934.774,13,3.21,-0.829,-0.004,0.0,21.3,69.5
1784028934.774,13,3.174,3.599,-0.066,0.0,17.1,65.5
1784028934.774,13,4.363,3.238,0.472,0.0,16.1,60.8
1784028934.774,13,1.068,0.17,0.14,0.162,35.6,51.9
1784028934.774,13,1.213,0.038,0.136,0.162,33.4,51.4
1784028934.774,13,1.07,0.102,-0.184,0.325,36.9,47.9
1784028934.774,13,1.215,0.45,0.184,-0.081,22.1,61.4
1784028934.875,14,2.058,-0.131,-0.366,0.0,13.7,67.2
1784028934.875,14,3.182,-0.933,-0.046,0.0,20.2,70.0
1784028934.875,14,3.173,3.599,-0.091,0.0,16.8,65.8
1784028934.875,14,4.225,3.408,0.522,0.0,16.0,60.8
1784028934.875,14,7.505,-1.941,0.458,0.0,15.6,57.8
1784028934.875,14,1.114,0.213,-0.016,0.162,40.4,51.1
1784028934.875,14,1.125,0.142,0.007,0.162,40.4,51.1
1784028934.875,14,1.244,-0.0,0.231,0.243,34.2,51.9
1784028934.875,14,1.1,0.106,-0.254,0.406,31.8,46.5
1784028934.875,14,2.982,-0.376,-0.169,-0.568,18.1,50.8
1784028934.875,14,1.245,0.368,0.165,-0.081,25.6,61.5
1784028934.976,15,0.389,0.458,0.108,0.0,12.5,65.1
1784028934.976,15,1.255,0.327,0.179,0.0,21.5,65.4
1784028934.976,15,1.997,-0.449,-0.128,0.0,12.1,67.4
1784028934.976,15,3.182,-0.933,0.001,0.0,19.3,70.8
1784028934.976,15,3.173,3.599,-0.084,0.0,17.5,65.1
