track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
7,,static,unknown,7.94,-17.5,8.1,0.08,0.25,0.02,2.0,-1.4,-1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.36,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,,static,mid,3.43,-37.6,-4.6,0.06,0.06,0.03,4.9,8.3,8.4,2.4,0.0,0.0,0.03,0.0,5.67,0.65,13.67,203.0,0.0,0.0,0.0,0.0,0.982,0.018,0.0,0.0,0.0
5,,static,mid,2.13,50.3,6.0,0.03,0.02,0.03,3.8,-2.6,-2.4,1.7,-0.0,0.0,0.03,0.01,1.82,0.21,13.79,164.0,0.0,0.0,0.0,0.016,0.984,0.0,0.0,0.0,0.0
3,,pedestrian,unknown,7.67,-30.8,10.5,0.76,0.39,0.21,7.5,0.3,1.1,1.0,0.0,0.0,0.0,0.0,1.97,0.18,12.88,198.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,,static,unknown,8.03,51.5,3.9,0.17,0.15,0.09,4.8,0.3,1.2,0.8,0.0,0.0,0.0,0.0,0.86,0.74,14.9,216.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,,pedestrian,unknown,4.32,39.8,0.8,0.44,0.34,0.57,4.8,3.7,7.7,3.7,-0.27,0.3,0.23,0.23,3.01,0.98,3.31,45.0,0.0,0.0,0.117,0.579,0.276,0.028,0.0,0.0,0.0
8,,static,fabric,2.31,-19.3,-6.0,0.01,0.07,0.14,2.0,-0.9,-0.9,0.6,0.16,0.16,0.0,0.0,0.0,0.0,0.3,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,,static,unknown,7.94,13.5,5.7,0.05,0.25,0.2,3.4,-1.2,-0.1,0.6,0.0,0.0,0.0,0.0,0.77,0.18,0.98,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,,vehicle,metal,1.64,11.2,-5.7,0.73,1.28,0.51,19.5,0.9,19.5,8.6,-0.0,0.06,0.13,0.23,21.75,0.87,19.8,312.0,0.0,0.0,0.005,0.082,0.834,0.077,0.002,0.0,0.0
11,,static,unknown,7.7,-0.5,9.5,0.11,0.24,0.31,5.3,2.1,5.3,2.3,0.0,0.0,0.0,0.0,5.09,0.38,1.61,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,,static,unknown,6.83,-0.6,4.8,0.3,0.17,0.33,3.5,-1.4,0.8,1.0,0.0,0.0,0.0,0.0,20.8,0.4,0.21,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,,pedestrian,metal,1.35,-5.7,-0.8,1.92,1.95,0.89,31.8,2.4,9.8,5.9,-0.14,0.17,0.22,0.95,25.78,0.93,0.33,12.0,0.0,0.0,0.047,0.403,0.518,0.031,0.0,0.0,0.0
10,,unknown,metal,1.72,-3.2,0.6,0.27,0.29,0.27,8.2,5.9,9.0,4.7,-0.04,0.04,0.09,0.04,57.86,1.5,2.46,50.0,0.0,0.0,0.0,0.127,0.873,0.0,0.0,0.0,0.0
14,,static,unknown,6.74,-1.6,5.3,0.25,0.17,0.59,5.2,-0.5,0.8,1.2,0.0,0.0,0.0,0.0,15.57,0.29,0.27,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,,static,unknown,7.07,-2.2,8.2,0.55,0.14,0.6,4.8,-0.5,0.8,1.3,0.0,0.0,0.0,0.0,23.09,0.72,0.3,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,,static,unknown,6.63,-5.4,2.5,1.04,0.5,1.0,7.8,0.0,1.7,1.4,0.0,0.0,0.0,0.0,21.5,0.82,1.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,,static,unknown,6.83,-4.9,1.6,0.57,0.36,0.27,2.0,-0.9,-0.6,0.5,0.0,0.0,0.0,0.0,20.56,0.37,0.1,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,,static,mid,0.39,-45.7,9.2,0.13,0.03,0.12,5.5,3.6,8.1,2.9,-0.0,0.0,0.01,0.01,1.91,0.1,1.28,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,,static,unknown,7.94,9.0,2.4,0.01,0.0,0.21,2.5,-2.0,-1.8,0.1,0.0,0.0,0.0,0.0,3.96,0.37,0.69,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
