t,frame,x,y,z,doppler,snr_db,noise_db
1784032764.133,1,1.495,-0.191,-0.242,0.0,12.8,62.6
1784032764.133,1,1.535,0.894,-0.212,0.0,12.4,67.0
1784032764.133,1,1.643,0.96,-0.254,0.0,15.7,72.1
1784032764.133,1,2.788,1.614,0.211,0.0,21.4,73.8
1784032764.133,1,6.498,3.839,1.412,0.0,14.6,63.8
1784032764.133,1,5.229,-6.021,0.921,0.0,12.4,65.3
1784032764.195,2,1.493,-0.196,-0.446,0.0,12.6,62.9
1784032764.195,2,1.536,0.894,-0.202,0.0,11.8,67.5
1784032764.195,2,1.643,0.96,-0.255,0.0,15.4,72.4
1784032764.195,2,2.725,1.715,0.236,0.0,21.5,73.8
1784032764.195,2,6.317,4.079,1.554,0.0,14.7,63.8
1784032764.195,2,5.231,-6.021,0.913,0.0,12.5,65.2
1784032764.316,3,1.499,-0.191,-0.22,0.0,11.9,63.3
1784032764.316,3,1.537,0.894,-0.192,0.0,11.7,67.6
1784032764.316,3,1.644,0.96,-0.245,0.0,15.3,72.6
1784032764.316,3,2.725,1.715,0.239,0.0,21.4,73.9
1784032764.316,3,6.475,3.839,1.516,0.0,15.1,63.4
1784032764.316,3,5.232,-6.021,0.906,0.0,12.6,65.2
1784032764.436,4,0.535,0.038,-0.292,0.0,14.2,62.7
1784032764.436,4,1.504,-0.191,-0.186,0.0,13.0,62.2
1784032764.436,4,1.535,0.894,-0.208,0.0,12.4,66.9
1784032764.436,4,1.679,0.9,-0.237,0.0,15.6,72.3
1784032764.436,4,2.726,1.715,0.23,0.0,21.6,73.7
1784032764.436,4,6.485,3.839,1.47,0.0,15.0,63.7
1784032764.436,4,5.499,-5.77,0.955,0.0,12.6,65.2
1784032764.499,5,1.497,-0.143,-0.263,0.0,12.8,62.4
1784032764.499,5,1.535,0.894,-0.205,0.0,12.7,66.7
1784032764.499,5,1.643,0.96,-0.255,0.0,15.6,72.3
1784032764.499,5,2.725,1.715,0.236,0.0,21.6,73.7
1784032764.499,5,6.327,4.079,1.513,0.0,15.0,63.6
1784032764.499,5,5.234,-6.021,0.895,0.0,12.4,65.4
1784032764.621,6,1.496,-0.191,-0.241,0.0,12.9,62.4
1784032764.621,6,1.535,0.894,-0.208,0.0,12.4,67.0
1784032764.621,6,1.644,0.96,-0.25,0.0,15.4,72.4
1784032764.621,6,2.788,1.614,0.215,0.0,21.5,73.8
1784032764.621,6,6.496,3.839,1.421,0.0,15.0,63.6
1784032764.621,6,5.503,-5.77,0.931,0.0,12.7,65.1
1784032764.723,7,1.484,-0.245,-0.453,0.0,13.1,62.2
1784032764.723,7,1.537,0.894,-0.194,0.0,12.6,66.7
1784032764.723,7,1.643,0.96,-0.253,0.0,15.6,72.2
1784032764.723,7,2.788,1.614,0.215,0.0,21.7,73.5
1784032764.723,7,6.488,3.839,1.458,0.0,14.9,63.4
1784032764.723,7,5.513,-5.77,0.873,0.0,12.2,65.6
1784032764.823,8,1.506,-0.245,-0.371,0.0,12.9,62.6
1784032764.823,8,1.536,0.894,-0.199,0.0,12.4,67.0
1784032764.823,8,1.644,0.96,-0.246,0.0,15.4,72.4
1784032764.823,8,2.726,1.715,0.229,0.0,21.6,73.6
1784032764.823,8,6.516,3.839,1.327,0.0,14.4,64.0
1784032764.823,8,5.227,-6.021,0.934,0.0,11.8,65.9
1784032764.925,9,1.492,-0.245,-0.426,0.0,13.3,62.3
1784032764.925,9,1.534,0.894,-0.217,0.0,12.2,67.2
1784032764.925,9,1.679,0.9,-0.24,0.0,15.2,72.7
1784032764.925,9,2.726,1.715,0.22,0.0,21.7,73.5
1784032764.925,9,6.517,3.839,1.321,0.0,14.3,64.3
1784032764.925,9,5.504,-5.77,0.927,0.0,12.0,65.7
1784032765.026,10,1.476,-0.245,-0.478,0.0,13.2,62.5
1784032765.026,10,1.537,0.894,-0.195,0.0,12.3,67.0
1784032765.026,10,1.643,0.96,-0.255,0.0,15.0,72.6
1784032765.026,10,1.154,-1.631,0.192,0.0,11.3,75.6
1784032765.026,10,2.725,1.715,0.232,0.0,22.3,73.0
1784032765.026,10,6.498,3.839,1.414,0.0,14.5,64.0
1784032765.026,10,5.237,-6.021,0.875,0.0,12.2,65.6
1784032765.127,11,1.504,-0.245,-0.379,0.0,13.1,62.4
1784032765.127,11,1.535,0.894,-0.211,0.0,12.5,66.9
1784032765.127,11,1.644,0.96,-0.246,0.0,15.2,72.6
1784032765.127,11,2.726,1.715,0.227,0.0,21.6,73.6
1784032765.127,11,6.512,3.839,1.347,0.0,14.8,63.8
1784032765.127,11,5.234,-6.021,0.896,0.0,11.9,65.9
1784032765.229,12,1.493,-0.191,-0.257,0.0,12.8,62.3
1784032765.229,12,1.537,0.894,-0.196,0.0,12.2,67.2
1784032765.229,12,1.642,0.96,-0.26,0.0,15.3,72.5
1784032765.229,12,2.789,1.614,0.203,0.0,21.2,74.1
1784032765.229,12,6.491,3.839,1.444,0.0,14.7,63.7
1784032765.229,12,5.238,-6.021,0.873,0.0,12.0,65.8
1784032765.33,13,1.489,-0.191,-0.281,0.0,12.3,63.1
1784032765.33,13,1.536,0.894,-0.2,0.0,11.9,67.4
1784032765.33,13,1.643,0.96,-0.252,0.0,15.2,72.7
1784032765.33,13,2.725,1.715,0.235,0.0,21.8,73.5
1784032765.33,13,6.482,3.839,1.486,0.0,14.2,64.2
1784032765.33,13,5.508,-5.77,0.903,0.0,12.3,65.5
1784032765.431,14,1.487,-0.245,-0.443,0.0,12.6,62.8
1784032765.431,14,1.536,0.894,-0.205,0.0,11.8,67.6
1784032765.431,14,1.644,0.96,-0.249,0.0,15.2,72.7
1784032765.431,14,2.725,1.715,0.232,0.0,21.7,73.5
1784032765.431,14,6.505,3.839,1.381,0.0,14.9,63.7
