t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1784032767.377,static,fabric,-0.9,1.67,0.0,1.18,14,1.56,0.55,-0.24
1784032767.377,static,mid,8.0,3.23,0.0,0.12,5,2.74,1.69,0.24
1784032767.377,static,unknown,1.1,7.6,0.0,0.57,5,6.42,3.81,1.41
1784032767.377,static,unknown,-0.5,8.03,0.0,0.38,5,5.46,-5.82,0.88
1784032767.421,static,fabric,-1.0,1.67,0.0,1.19,14,1.56,0.55,-0.25
1784032767.421,static,mid,8.0,3.23,0.0,0.12,5,2.74,1.68,0.24
1784032767.421,static,unknown,1.1,7.63,0.0,0.46,5,6.44,3.82,1.42
1784032767.421,static,unknown,-0.5,8.03,0.0,0.38,5,5.44,-5.84,0.88
1784032767.465,static,fabric,-1.0,1.67,0.0,1.2,14,1.56,0.55,-0.25
1784032767.465,static,mid,8.0,3.23,0.0,0.12,5,2.75,1.68,0.23
1784032767.465,static,unknown,1.1,7.64,0.0,0.39,5,6.46,3.83,1.43
1784032767.465,static,unknown,-0.5,8.03,0.0,0.38,5,5.42,-5.85,0.88
1784032767.513,static,fabric,-1.0,1.67,0.0,1.21,15,1.56,0.55,-0.26
1784032767.513,static,mid,8.0,3.23,0.0,0.12,5,2.75,1.68,0.23
1784032767.513,static,unknown,1.1,7.65,0.0,0.33,5,6.47,3.83,1.43
1784032767.513,static,unknown,-0.6,8.03,0.0,0.38,5,5.4,-5.87,0.88
1784032767.556,static,fabric,-1.0,1.67,0.0,1.21,15,1.56,0.55,-0.27
1784032767.556,static,mid,8.0,3.23,0.0,0.12,5,2.74,1.68,0.24
1784032767.556,static,unknown,1.1,7.66,0.0,0.3,5,6.48,3.84,1.43
1784032767.556,static,unknown,-0.6,8.03,0.0,0.38,5,5.4,-5.87,0.88
1784032767.607,static,fabric,-1.0,1.68,0.0,1.22,15,1.56,0.55,-0.27
1784032767.607,static,mid,8.0,3.23,0.0,0.12,5,2.74,1.69,0.24
1784032767.607,static,unknown,1.1,7.67,0.0,0.29,5,6.47,3.85,1.44
1784032767.607,static,unknown,-0.6,8.02,0.0,0.38,5,5.4,-5.87,0.88
1784032767.653,static,fabric,-1.0,1.68,0.0,1.22,15,1.56,0.55,-0.27
1784032767.653,static,mid,8.0,3.23,0.0,0.12,5,2.74,1.69,0.24
1784032767.653,static,unknown,1.1,7.67,0.0,0.29,5,6.47,3.87,1.45
1784032767.653,static,unknown,-0.5,8.02,0.0,0.38,5,5.4,-5.87,0.88
