t,frame,x,y,z,doppler,snr_db
1783970445.093,1,1.942,-0.314,0.397,0.0,14.3
1783970445.093,1,2.679,-0.785,-0.06,0.0,14.2
1783970445.093,1,2.74,0.524,0.118,0.0,14.2
1783970445.093,1,5.604,-1.462,0.801,0.0,13.4
1783970445.093,1,6.284,0.802,1.002,0.0,12.7
1783970445.147,2,1.943,-0.314,0.392,0.0,14.3
1783970445.147,2,2.703,-0.698,0.043,0.0,13.5
1783970445.147,2,2.742,0.524,0.072,0.0,13.5
1783970445.147,2,5.605,-1.462,0.791,0.0,13.4
1783970445.147,2,6.311,0.601,0.969,0.0,13.6
1783970445.266,3,1.955,-0.314,0.33,0.0,14.5
1783970445.266,3,2.704,-0.698,0.01,0.0,13.5
1783970445.266,3,2.721,0.611,0.142,0.0,13.5
1783970445.266,3,5.614,-1.462,0.725,0.0,13.6
1783970445.266,3,6.264,0.601,1.24,0.0,13.3
1783970445.372,4,1.955,-0.314,0.326,0.0,14.2
1783970445.372,4,2.704,-0.698,-0.008,0.0,14.0
1783970445.372,4,2.74,0.524,0.114,0.0,14.0
1783970445.372,4,5.604,-1.462,0.798,0.0,12.9
1783970445.372,4,6.32,0.401,1.012,0.0,12.9
1783970445.482,5,1.957,-0.314,0.315,0.0,14.2
1783970445.482,5,2.704,-0.698,0.01,0.0,13.9
1783970445.482,5,2.742,0.524,0.067,0.0,13.9
1783970445.482,5,5.61,-1.462,0.754,0.0,13.1
1783970445.482,5,6.291,0.601,1.093,0.0,12.9
1783970445.592,6,1.959,-0.314,0.302,0.0,14.5
1783970445.592,6,2.703,-0.698,0.029,0.0,13.8
1783970445.592,6,2.741,0.524,0.098,0.0,13.8
1783970445.592,6,5.595,-1.462,0.858,0.0,13.3
1783970445.592,6,6.304,0.601,1.015,0.0,12.9
1783970445.697,7,1.963,-0.314,0.274,0.0,14.0
1783970445.697,7,2.704,-0.698,-0.014,0.0,13.6
1783970445.697,7,2.739,0.524,0.151,0.0,13.6
1783970445.697,7,5.606,-1.462,0.785,0.0,13.2
1783970445.697,7,6.315,0.601,0.944,0.0,12.8
1783970445.754,8,1.962,-0.314,0.281,0.0,13.9
1783970445.754,8,2.703,-0.698,-0.066,0.0,13.8
1783970445.754,8,2.739,0.524,0.149,0.0,13.8
1783970445.754,8,5.601,-1.462,0.821,0.0,13.1
1783970445.754,8,6.306,0.601,1.003,0.0,11.9
1783970445.855,9,1.956,-0.314,0.321,0.0,14.2
1783970445.855,9,2.702,-0.698,-0.105,0.0,13.6
1783970445.855,9,2.721,0.611,0.147,0.0,13.6
1783970445.855,9,5.607,-1.462,0.778,0.0,12.9
1783970445.855,9,6.326,0.601,0.866,0.0,12.8
1783970445.956,10,1.955,-0.314,0.329,0.0,14.3
1783970445.956,10,2.701,-0.698,-0.12,0.0,13.5
1783970445.956,10,2.736,0.524,0.188,0.0,13.5
1783970445.956,10,5.613,-1.462,0.732,0.0,13.0
1783970445.956,10,6.318,0.601,0.924,0.0,13.5
1783970446.057,11,1.958,-0.314,0.308,0.0,14.0
1783970446.057,11,2.701,-0.698,-0.128,0.0,13.9
1783970446.057,11,2.736,0.524,0.196,0.0,13.9
1783970446.057,11,5.61,-1.462,0.754,0.0,13.0
1783970446.057,11,6.32,0.601,0.91,0.0,13.3
1783970446.159,12,1.964,-0.314,0.265,0.0,13.9
1783970446.159,12,2.699,-0.698,-0.16,0.0,13.2
1783970446.159,12,2.737,0.524,0.178,0.0,13.2
1783970446.159,12,5.618,-1.462,0.69,0.0,13.2
1783970446.159,12,6.303,0.601,1.019,0.0,13.2
1783970446.26,13,1.964,-0.314,0.268,0.0,14.3
1783970446.26,13,2.67,-0.785,-0.228,0.0,13.2
1783970446.26,13,2.739,0.524,0.147,0.0,13.2
1783970446.26,13,5.614,-1.462,0.723,0.0,13.1
1783970446.26,13,6.283,0.601,1.139,0.0,12.9
1783970446.362,14,1.967,-0.314,0.249,0.0,14.1
1783970446.362,14,2.7,-0.698,-0.148,0.0,13.2
1783970446.362,14,2.739,0.524,0.136,0.0,13.2
1783970446.362,14,5.612,-1.462,0.741,0.0,13.0
1783970446.362,14,6.311,0.401,1.071,0.0,12.7
1783970446.362,14,7.967,-1.804,1.128,0.0,11.9
1783970446.464,15,1.966,-0.314,0.254,0.0,14.3
1783970446.464,15,2.701,-0.698,-0.127,0.0,13.5
1783970446.464,15,2.739,0.524,0.134,0.0,13.5
1783970446.464,15,5.603,-1.462,0.806,0.0,12.9
1783970446.464,15,6.275,0.601,1.182,0.0,13.1
1783970446.566,16,0.263,-0.229,0.008,0.0,12.1
1783970446.566,16,1.959,-0.314,0.303,0.0,14.8
1783970446.566,16,2.67,-0.785,-0.229,0.0,13.3
1783970446.566,16,2.738,0.524,0.168,0.0,13.3
1783970446.566,16,5.613,-1.462,0.729,0.0,13.0
1783970446.566,16,6.278,0.601,1.165,0.0,13.4
1783970446.667,17,0.271,-0.218,0.024,0.0,12.3
1783970446.667,17,1.96,-0.314,0.297,0.0,14.6
1783970446.667,17,2.67,-0.785,-0.228,0.0,13.2
1783970446.667,17,2.736,0.524,0.187,0.0,13.2
1783970446.667,17,5.61,-1.462,0.754,0.0,13.1
1783970446.667,17,6.295,0.601,1.067,0.0,13.2
1783970446.768,18,1.954,-0.314,0.336,0.0,14.8
1783970446.768,18,2.699,-0.698,-0.156,0.0,13.1
1783970446.768,18,2.739,0.524,0.138,0.0,13.1
1783970446.768,18,5.609,-1.462,0.76,0.0,13.2
1783970446.768,18,6.301,0.601,1.031,0.0,13.0
1783970446.87,19,1.944,-0.376,0.33,0.0,14.7
1783970446.87,19,2.699,-0.698,-0.165,0.0,13.2
1783970446.87,19,2.739,0.524,0.135,0.0,13.2
1783970446.87,19,5.607,-1.462,0.779,0.0,13.0
1783970446.87,19,6.293,0.601,1.08,0.0,13.5
1783970446.971,20,1.947,-0.376,0.306,0.0,14.6
1783970446.971,20,2.669,-0.785,-0.232,0.0,13.0
1783970446.971,20,2.739,0.524,0.135,0.0,13.0
1783970446.971,20,5.608,-1.462,0.768,0.0,12.7
1783970446.971,20,6.292,0.601,1.09,0.0,13.8
1783970447.072,21,1.95,-0.314,0.355,0.0,14.7
1783970447.072,21,2.7,-0.698,-0.132,0.0,13.1
1783970447.072,21,2.736,0.524,0.189,0.0,13.1
1783970447.072,21,5.612,-1.462,0.743,0.0,13.0
1783970447.072,21,6.27,0.601,1.207,0.0,13.6
1783970447.173,22,1.951,-0.314,0.348,0.0,14.8
1783970447.173,22,2.701,-0.698,-0.11,0.0,13.1
1783970447.173,22,2.736,0.524,0.188,0.0,13.1
1783970447.173,22,5.602,-1.462,0.813,0.0,13.1
1783970447.173,22,6.288,0.601,1.11,0.0,12.6
1783970447.275,23,1.952,-0.314,0.342,0.0,14.9
1783970447.275,23,2.701,-0.698,-0.111,0.0,13.0
1783970447.275,23,2.736,0.524,0.197,0.0,13.0
1783970447.275,23,5.608,-1.462,0.771,0.0,13.1
1783970447.275,23,6.3,0.601,1.042,0.0,13.2
1783970447.376,24,1.954,-0.314,0.336,0.0,15.0
1783970447.376,24,2.701,-0.698,-0.117,0.0,13.2
1783970447.376,24,2.736,0.524,0.186,0.0,13.2
1783970447.376,24,5.607,-1.462,0.776,0.0,12.7
1783970447.376,24,6.312,0.601,0.963,0.0,13.7
1783970447.478,25,1.952,-0.314,0.346,0.0,15.0
1783970447.478,25,2.701,-0.698,-0.128,0.0,12.9
1783970447.478,25,2.737,0.524,0.173,0.0,12.9
1783970447.478,25,5.606,-1.462,0.787,0.0,12.9
1783970447.478,25,6.318,0.601,0.926,0.0,13.0
1783970447.579,26,1.951,-0.314,0.349,0.0,15.1
1783970447.579,26,2.672,-0.785,-0.2,0.0,13.0
1783970447.579,26,2.737,0.524,0.169,0.0,13.0
1783970447.579,26,5.603,-1.462,0.809,0.0,13.0
1783970447.579,26,6.281,0.802,1.017,0.0,13.1
1783970447.679,27,1.952,-0.314,0.344,0.0,14.8
1783970447.679,27,2.703,-0.698,-0.026,0.0,13.1
1783970447.679,27,2.723,0.611,0.097,0.0,13.1
1783970447.679,27,5.605,-1.462,0.794,0.0,12.8
1783970447.679,27,6.3,0.601,1.041,0.0,13.6
1783970447.78,28,1.953,-0.314,0.338,0.0,14.9
1783970447.78,28,2.704,-0.698,0.006,0.0,13.7
1783970447.78,28,2.74,0.524,0.132,0.0,13.7
1783970447.78,28,5.611,-1.462,0.744,0.0,12.8
1783970447.78,28,6.295,0.601,1.069,0.0,13.5
1783970447.881,29,1.956,-0.314,0.323,0.0,14.7
1783970447.881,29,2.703,-0.698,-0.046,0.0,13.2
1783970447.881,29,2.724,0.611,0.076,0.0,13.2
1783970447.881,29,5.607,-1.462,0.78,0.0,12.7
1783970447.881,29,6.296,0.601,1.063,0.0,13.2
1783970447.982,30,1.958,-0.314,0.307,0.0,14.7
1783970447.982,30,2.703,-0.698,-0.067,0.0,13.5
1783970447.982,30,2.739,0.524,0.142,0.0,13.5
1783970447.982,30,5.614,-1.462,0.721,0.0,13.2
1783970447.982,30,6.284,0.601,1.131,0.0,12.7
1783970448.083,31,0.252,-0.24,0.025,0.0,15.0
1783970448.083,31,1.962,-0.314,0.28,0.0,14.4
1783970448.083,31,2.677,-0.785,-0.119,0.0,14.2
1783970448.083,31,2.716,0.611,0.213,0.0,14.2
1783970448.083,31,5.614,-1.462,0.721,0.0,13.4
1783970448.083,31,6.322,0.601,0.893,0.0,12.5
1783970448.184,32,1.964,-0.314,0.27,0.0,14.0
1783970448.184,32,2.675,-0.785,-0.154,0.0,13.8
1783970448.184,32,2.723,0.611,0.1,0.0,13.8
1783970448.184,32,5.615,-1.462,0.718,0.0,13.6
1783970448.184,32,6.324,0.601,0.881,0.0,12.3
1783970448.285,33,0.261,-0.229,0.035,0.0,12.7
1783970448.285,33,1.968,-0.314,0.24,0.0,14.2
1783970448.285,33,2.677,-0.785,-0.106,0.0,14.1
1783970448.285,33,2.72,0.611,0.151,0.0,14.1
1783970448.285,33,5.613,-1.462,0.73,0.0,13.6
1783970448.285,33,6.293,0.802,0.944,0.0,12.5
1783970448.385,34,0.253,-0.24,0.007,0.0,13.7
1783970448.385,34,1.963,-0.314,0.276,0.0,14.2
1783970448.385,34,2.678,-0.785,-0.103,0.0,13.2
1783970448.385,34,2.738,0.524,0.158,0.0,13.2
1783970448.385,34,5.613,-1.462,0.733,0.0,13.1
1783970448.385,34,6.317,0.601,0.929,0.0,13.1
1783970448.486,35,0.261,-0.218,0.077,0.0,11.6
1783970448.486,35,1.959,-0.314,0.3,0.0,14.3
1783970448.486,35,2.677,-0.785,-0.111,0.0,13.1
1783970448.486,35,2.741,0.524,0.102,0.0,13.1
1783970448.486,35,5.605,-1.462,0.794,0.0,13.2
1783970448.486,35,6.31,0.601,0.979,0.0,12.8
1783970448.587,36,1.961,-0.314,0.29,0.0,14.0
1783970448.587,36,2.703,-0.698,-0.033,0.0,13.5
1783970448.587,36,2.721,0.611,0.148,0.0,13.5
1783970448.587,36,5.608,-1.462,0.768,0.0,13.0
1783970448.587,36,6.296,0.601,1.061,0.0,13.3
1783970448.587,36,0.241,-0.251,-0.032,-0.081,11.2
