track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
1,test_run,static,fabric,2.48,3.5,3.0,0.77,1.16,0.42,14.9,30.0,30.2,1.7,0.0,0.0,0.0,0.0,0.1,0.04,7.9,157.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,test_run,static,mid,5.84,14.6,8.6,0.02,0.03,0.08,5.0,44.4,44.6,0.2,0.0,0.0,0.0,0.0,0.06,0.1,7.9,157.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,test_run,static,metal,6.41,-5.0,6.2,0.03,0.06,0.19,5.0,45.2,45.8,0.5,0.0,0.0,0.0,0.0,0.33,0.41,7.9,157.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,test_run,static,fabric,0.48,50.5,2.7,0.02,0.06,0.03,4.6,1.7,3.0,1.0,-0.01,0.01,0.04,0.03,0.06,0.15,6.79,135.0,0.0,0.0,0.0,0.033,0.967,0.0,0.0,0.0,0.0
5,test_run,static,fabric,2.79,-12.6,-0.5,0.0,0.0,0.04,5.0,30.3,30.8,0.3,0.0,0.0,0.0,0.0,0.1,0.06,3.17,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
