t,frame,x,y,z,doppler,snr_db
1783970685.514,1,0.316,-0.36,0.027,0.0,15.2
1783970685.514,1,1.95,-0.314,0.358,0.0,15.3
1783970685.514,1,2.679,-0.785,0.073,0.0,12.5
1783970685.514,1,2.724,0.611,-0.074,0.0,12.5
1783970685.514,1,5.591,-1.462,0.885,0.0,14.0
1783970685.514,1,6.322,0.601,0.895,0.0,12.9
1783970685.638,2,0.316,-0.36,0.026,0.0,16.1
1783970685.638,2,1.947,-0.314,0.373,0.0,15.2
1783970685.638,2,2.679,-0.785,0.052,0.0,12.6
1783970685.638,2,2.723,0.611,-0.103,0.0,12.6
1783970685.638,2,5.608,-1.462,0.768,0.0,13.6
1783970685.638,2,6.327,0.601,0.86,0.0,13.0
1783970685.688,3,0.316,-0.36,0.032,0.0,16.0
1783970685.688,3,1.947,-0.314,0.371,0.0,15.2
1783970685.688,3,2.699,-0.698,0.15,0.0,12.5
1783970685.688,3,2.723,0.611,-0.091,0.0,12.5
1783970685.688,3,5.614,-1.462,0.728,0.0,13.5
1783970685.688,3,6.331,0.601,0.832,0.0,13.2
1783970685.797,4,0.316,-0.36,0.033,0.0,14.6
1783970685.797,4,1.949,-0.314,0.362,0.0,15.0
1783970685.797,4,2.698,-0.698,0.175,0.0,12.3
1783970685.797,4,2.724,0.611,-0.071,0.0,12.3
1783970685.797,4,5.598,-1.462,0.837,0.0,13.5
1783970685.797,4,6.325,0.601,0.877,0.0,13.2
1783970685.906,5,0.316,-0.36,0.031,0.0,13.7
1783970685.906,5,1.945,-0.314,0.384,0.0,14.8
1783970685.906,5,2.698,-0.698,0.17,0.0,12.1
1783970685.906,5,2.723,0.611,-0.091,0.0,12.1
1783970685.906,5,5.597,-1.462,0.844,0.0,13.6
1783970685.906,5,6.344,0.601,0.728,0.0,12.7
1783970686.029,6,0.316,-0.36,0.03,0.0,13.2
1783970686.029,6,1.944,-0.314,0.389,0.0,14.9
1783970686.029,6,2.679,-0.785,0.041,0.0,12.5
