t,label,material,refl_db,range_m,doppler_mps,extent_m,n_points,x,y,z
1783970687.878,static,fabric,30.2,2.46,0.0,1.7,16,2.44,-0.23,0.11
1783970687.878,static,mid,43.9,5.85,0.0,0.22,5,5.57,-1.59,0.77
1783970687.878,static,metal,45.6,6.41,0.0,0.17,5,6.34,0.6,0.75
1783970687.878,static,fabric,0.2,0.48,0.0,0.02,5,0.3,-0.37,0.02
1783970687.939,static,fabric,30.2,2.45,0.0,1.7,16,2.44,-0.23,0.11
1783970687.939,static,mid,44.0,5.85,0.0,0.21,5,5.58,-1.58,0.77
1783970687.939,static,metal,45.6,6.41,0.0,0.16,5,6.34,0.6,0.76
1783970687.939,static,fabric,0.2,0.48,0.0,0.02,5,0.31,-0.37,0.02
1783970687.997,static,fabric,30.2,2.44,0.0,1.69,16,2.43,-0.2,0.12
1783970687.997,static,mid,44.0,5.85,0.0,0.21,5,5.58,-1.57,0.78
1783970687.997,static,metal,45.5,6.41,0.0,0.15,5,6.34,0.6,0.77
1783970687.997,static,fabric,0.4,0.48,0.0,0.02,5,0.31,-0.37,0.02
1783970688.056,static,fabric,30.2,2.45,0.0,1.69,16,2.43,-0.2,0.12
1783970688.056,static,mid,44.0,5.85,0.0,0.21,5,5.58,-1.56,0.78
1783970688.056,static,metal,45.5,6.41,0.0,0.17,5,6.34,0.6,0.78
1783970688.056,static,fabric,0.4,0.48,0.0,0.02,5,0.31,-0.36,0.02
1783970688.114,static,fabric,30.2,2.45,0.0,1.7,16,2.44,-0.2,0.12
1783970688.114,static,mid,44.0,5.85,0.0,0.21,5,5.58,-1.54,0.78
1783970688.114,static,metal,45.5,6.41,0.0,0.18,5,6.33,0.6,0.79
1783970688.114,static,fabric,0.4,0.48,0.0,0.02,5,0.31,-0.36,0.02
1783970688.171,static,fabric,30.2,2.45,0.0,1.7,16,2.44,-0.19,0.11
1783970688.171,static,mid,44.0,5.84,0.0,0.21,5,5.59,-1.53,0.79
1783970688.171,static,metal,45.5,6.41,0.0,0.18,5,6.33,0.6,0.8
1783970688.171,static,fabric,0.9,0.48,0.0,0.02,5,0.31,-0.36,0.01
1783970688.223,static,fabric,30.1,2.45,0.0,1.7,17,2.44,-0.19,0.11
1783970688.223,static,mid,44.1,5.85,0.0,0.21,5,5.59,-1.53,0.78
1783970688.223,static,metal,45.5,6.41,0.0,0.19,5,6.33,0.6,0.81
1783970688.223,static,fabric,0.9,0.48,0.0,0.02,5,0.31,-0.36,0.01
1783970688.273,static,fabric,30.1,2.45,0.0,1.7,17,2.44,-0.2,0.12
1783970688.273,static,mid,44.1,5.85,0.0,0.21,5,5.59,-1.52,0.79
1783970688.273,static,metal,45.5,6.41,0.0,0.19,5,6.33,0.6,0.83
1783970688.273,static,fabric,0.9,0.48,0.0,0.03,5,0.31,-0.36,0.01
1783970688.33,static,fabric,30.1,2.46,0.0,1.7,16,2.45,-0.2,0.11
1783970688.33,static,mid,44.1,5.85,0.0,0.2,5,5.59,-1.51,0.78
1783970688.33,static,metal,45.5,6.41,0.0,0.19,5,6.33,0.6,0.85
1783970688.33,static,fabric,0.9,0.48,0.0,0.03,5,0.31,-0.36,0.01
1783970688.386,static,fabric,30.1,2.46,0.0,1.71,17,2.45,-0.2,0.11
1783970688.386,static,mid,44.1,5.85,0.0,0.21,5,5.59,-1.51,0.79
1783970688.386,static,metal,45.5,6.41,0.0,0.2,5,6.32,0.6,0.86
1783970688.386,static,fabric,0.9,0.48,0.0,0.03,5,0.31,-0.36,0.01
1783970688.448,static,fabric,30.1,2.47,0.0,1.71,17,2.46,-0.2,0.1
1783970688.448,static,mid,44.1,5.84,0.0,0.21,5,5.59,-1.5,0.79
1783970688.448,static,metal,45.4,6.41,0.0,0.19,5,6.32,0.6,0.88
1783970688.448,static,fabric,0.9,0.48,0.0,0.03,5,0.31,-0.36,0.02
1783970688.5,static,fabric,30.1,2.47,0.0,1.71,17,2.46,-0.2,0.1
1783970688.5,static,mid,44.2,5.85,0.0,0.21,5,5.6,-1.5,0.78
1783970688.5,static,metal,45.4,6.41,0.0,0.2,5,6.32,0.6,0.89
1783970688.5,static,fabric,0.9,0.48,0.0,0.03,5,0.31,-0.36,0.02
1783970688.553,static,fabric,30.1,2.43,0.0,1.65,16,2.41,-0.31,0.14
1783970688.553,static,mid,44.2,5.85,0.0,0.21,5,5.6,-1.5,0.78
1783970688.553,static,metal,45.4,6.41,0.0,0.2,5,6.32,0.6,0.88
1783970688.553,static,fabric,0.9,0.48,0.0,0.03,5,0.31,-0.36,0.02
1783970688.605,static,fabric,30.1,2.42,0.0,1.61,16,2.38,-0.39,0.16
1783970688.605,static,mid,44.3,5.85,0.0,0.21,5,5.6,-1.5,0.78
1783970688.605,static,metal,45.4,6.41,0.0,0.2,5,6.32,0.6,0.89
1783970688.605,static,fabric,0.9,0.48,0.0,0.03,5,0.31,-0.36,0.02
1783970688.661,static,fabric,30.1,2.4,0.0,1.57,16,2.36,-0.44,0.18
1783970688.661,static,mid,44.3,5.85,0.0,0.21,5,5.6,-1.5,0.78
1783970688.661,static,metal,45.4,6.41,0.0,0.2,5,6.32,0.6,0.88
1783970688.661,static,fabric,0.9,0.48,0.0,0.03,5,0.32,-0.36,0.02
1783970688.714,static,fabric,30.1,2.4,0.0,1.53,15,2.34,-0.47,0.18
1783970688.714,static,mid,44.3,5.85,0.0,0.2,5,5.6,-1.49,0.79
1783970688.714,static,metal,45.4,6.41,0.0,0.2,5,6.32,0.6,0.87
1783970688.714,static,fabric,0.9,0.48,0.0,0.03,5,0.32,-0.36,0.02
1783970688.714,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.55,-0.07
1783970688.761,static,fabric,30.1,2.4,0.0,1.5,15,2.34,-0.5,0.18
1783970688.761,static,mid,44.3,5.85,0.0,0.2,5,5.6,-1.48,0.8
1783970688.761,static,metal,45.4,6.41,0.0,0.2,5,6.33,0.6,0.86
1783970688.761,static,fabric,0.9,0.48,0.0,0.03,5,0.32,-0.36,0.03
1783970688.761,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.54,-0.07
1783970688.812,static,fabric,30.1,2.39,0.0,1.47,15,2.33,-0.52,0.19
1783970688.812,static,mid,44.3,5.85,0.0,0.19,5,5.6,-1.47,0.8
1783970688.812,static,metal,45.4,6.41,0.0,0.2,5,6.33,0.6,0.85
1783970688.812,static,fabric,0.9,0.48,0.0,0.02,5,0.32,-0.36,0.03
1783970688.812,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.54,-0.08
1783970688.86,static,fabric,30.1,2.39,0.0,1.45,15,2.32,-0.53,0.18
1783970688.86,static,mid,44.3,5.84,0.0,0.19,5,5.6,-1.47,0.8
1783970688.86,static,metal,45.4,6.41,0.0,0.2,5,6.33,0.6,0.83
1783970688.86,static,fabric,0.9,0.48,0.0,0.02,5,0.32,-0.36,0.03
1783970688.86,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.54,-0.08
1783970688.908,static,fabric,30.1,2.39,0.0,1.43,14,2.32,-0.54,0.18
1783970688.908,static,mid,44.3,5.84,0.0,0.18,5,5.6,-1.46,0.81
1783970688.908,static,metal,45.4,6.42,0.0,0.2,5,6.33,0.6,0.82
1783970688.908,static,fabric,0.9,0.48,0.0,0.02,5,0.32,-0.36,0.03
1783970688.908,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.54,-0.08
1783970688.964,static,fabric,30.1,2.39,0.0,1.4,14,2.32,-0.55,0.18
1783970688.964,static,mid,44.2,5.84,0.0,0.18,5,5.6,-1.46,0.81
1783970688.964,static,metal,45.4,6.42,0.0,0.2,5,6.34,0.6,0.81
1783970688.964,static,fabric,0.9,0.48,0.0,0.02,5,0.32,-0.36,0.03
1783970688.964,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.54,-0.08
1783970689.014,static,fabric,30.1,2.39,0.0,1.39,14,2.31,-0.55,0.17
1783970689.014,static,mid,44.2,5.85,0.0,0.17,5,5.6,-1.46,0.82
1783970689.014,static,metal,45.4,6.42,0.0,0.2,5,6.33,0.6,0.82
1783970689.014,static,fabric,0.9,0.48,0.0,0.02,5,0.32,-0.36,0.03
1783970689.014,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.54,-0.08
1783970689.062,static,fabric,30.1,2.39,0.0,1.37,14,2.31,-0.56,0.17
1783970689.062,static,mid,44.2,5.85,0.0,0.17,5,5.6,-1.46,0.82
1783970689.062,static,metal,45.4,6.41,0.0,0.2,5,6.33,0.6,0.82
1783970689.062,static,fabric,0.9,0.48,0.0,0.02,5,0.32,-0.36,0.03
1783970689.062,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.54,-0.07
1783970689.111,static,fabric,29.9,2.38,0.0,1.35,14,2.31,-0.56,0.16
1783970689.111,static,mid,44.2,5.85,0.0,0.16,5,5.6,-1.46,0.82
1783970689.111,static,metal,45.4,6.41,0.0,0.2,5,6.33,0.6,0.83
1783970689.111,static,fabric,0.9,0.48,0.0,0.02,5,0.32,-0.36,0.03
1783970689.111,static,fabric,30.4,2.79,0.0,0.11,5,2.74,0.54,-0.07
1783970689.161,static,fabric,29.9,2.38,0.0,1.34,14,2.31,-0.57,0.16
1783970689.161,static,mid,44.2,5.84,0.0,0.16,5,5.6,-1.46,0.82
