track_id,session_label,motion,material,range_m,az_deg,el_deg,ext_x,ext_y,ext_z,n_pts_mean,refl_median,refl_p90,refl_std,v_mean,v_abs_mean,v_std,vspread_mean,speed_est,displacement_m,persistence_s,hits,dop0,dop1,dop2,dop3,dop4,dop5,dop6,dop7,dop8
1,bat_test,static,fabric,2.31,3.0,1.8,0.79,1.09,0.54,13.7,30.4,31.0,2.3,0.0,0.0,0.0,0.0,1.0,0.2,4.88,95.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,bat_test,static,mid,5.83,16.0,7.1,0.03,0.06,0.12,5.0,44.2,44.7,0.4,0.0,0.0,0.0,0.0,0.79,0.06,4.88,95.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,bat_test,unknown,metal,6.41,-5.0,10.9,0.04,0.01,0.23,5.0,45.2,46.2,0.5,0.0,0.0,0.0,0.0,1.5,0.5,4.88,95.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,bat_test,static,fabric,0.46,49.6,1.9,0.01,0.01,0.01,4.0,1.3,3.5,1.6,0.0,0.0,0.01,0.0,0.2,0.02,4.64,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,bat_test,static,fabric,2.79,-10.8,-0.7,0.01,0.07,0.05,5.0,30.3,30.6,0.3,0.0,0.0,0.0,0.0,0.23,0.05,3.16,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
